//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klik
Achievement 40 Name,Infrarød
Achievement 40 Description,Spring {0} camo-bloons
Achievement 41 Name,Vores kombinerede kræfter
Achievement 41 Description,Få mindst 12 forskellige kræfter
Achievement 42 Name,Udfordrer
Achievement 42 Description,Vind {0} daglig udfordring
Achievement 43 Name,Udfordringslærling
Achievement 43 Description,Vind {0} daglige udfordringer
Achievement 44 Name,Udfordringsmester
Achievement 44 Description,Vind {0} daglige udfordringer
Achievement 45 Name,Perfekt uge
Achievement 45 Description,Fuldfør alle daglige missioner på en uge.
Achievement 46 Name,Kyndig primat
Achievement 46 Description,Lås op for alle abekundskaber på én gren 
Achievement 47 Name,Bloons mester
Achievement 47 Description,Slå {0} bane i CHIMPS mode
Achievement 48 Name,Overlegen bloons mester
Achievement 48 Description,Slå {0} baner i CHIMPS mode
Achievement 49 Name,Ultimativ bloons mester
Achievement 49 Description,Slå {0} baner i CHIMPS mode
Achievement 50 Name,Super BAD
Achievement 50 Description,Udslet {0} BAD'er
Collect,Indsaml
,
//Standard Round Messages,
,
,
Hint 2,"Du får 1 'penge' for hver bloon-lag, du springer, plus lidt bonus i slutningen af hver runde."
Hint 7,"Spil Bloons TD ofte, og hold udkig efter nye opdateringer - baner, helte, udfordringer, og andet sejt."
Hint 12,"Jo mere du bruger en bestemt abe, desto flere opgraderinger låser du op for den."
Hint 26,Kan du se de zebra-stribede bloons? De kombinerer de hvide og sorte bloons' ondskabsfuldhed og indeholder én af hver - bare for sjov.
Hint 32,Du så en camo-bloon tilbage i runde 24. Jeg håber du er klar til flere!
Hint 38,"I slutningen af næste runde kommer der to regenererende regnbue-bloons. Hvis du kager i det, kan 2 blive til mange flere..."
Hint 39,"I næste runde kommer den første MOAB-bloon. Sig ikke, at du ikke er advaret!"
Hint 41,På vej: regenererende regnbue-bloons og camo-regnbue-bloons. Har du styr på tropperne?
Hint 45,Forstærkede keramiske bloons på vej i næste runde. 
Hint 50,Mange camo keramiske bloons kan ødelægge din dag. Siger det bare...
Hint 54,BTD6 er for vildt. Og det er livet også. Husk at tage en pause en gang imellem og lav noget andet. Så kan du spille mere BTD6!
Hint 58,Kan du springe bly? Kan du springe camo? Hvad så med camo bly?
Hint 59,Sidste runde på Mellem sværhedsgrad på vej. Tillykke! Hvis du altså kan springe BFB-bloon'en...
Hint 62,"Hvis du har spillet BTD5, vil du kunne huske runde 63. Hvis du spiller det for første gang, så siger vi bare: mange, tætpakkede keramiske bloons."
Hint 73,"Næste runde: camo regenererende, forstærkede keramiske bloons. Puha! Sikke en mundfuld."
Hint 77,"Hvad sker der, hvis du samler 75 keramiske bloons på et lillebitte område? Det finder du snart ud af!"
Hint 79,"Sidste runde på Svær sværhedsgrad kommer nu. Kast alt ind i kampen mod ZOMG-bloon'en. Den er stor og langsom, men meget, meget sej."
Hint 89,"Hvad er en DDT-bloon, spørger du? Det er ligesom en MOAB kombineret med en pink, camo- og bly-bloon. Men ikke på den fede måde."
Hint 100,Tillykke med sejren i runde 100! Nyd din belønning!
,
//Alternate Round Messages [will comment out duplicates for now / warnings],
Alternate Hint 3,Alternative bloons-runde...
Alternate Hint 4,"Du ved godt, at 'alternativ' bare betyder sværere, ikke?"
Alternate Hint 5,"Gik du i panik, da du så camo-bloon'en?"
Alternate Hint 7,Stadig på maks. liv?
Alternate Hint 8,"Hmm, hvornår mon den første bly-bloon dukker op?"
Alternate Hint 21,"Det er, hvad vi kalder en 'pengefattig' runde..."
Alternate Hint 39,Næste runde er det MOAB som sædvanligt. Eller er det?
Alternate Hint 59,BFB i næste runde. Eller skulle det være FBFB?
Alternate Hint 77,Næste runde er en rigtig hård nød...
Alternate Hint 79,"ZOMG, det var hårdt..."
Alternate Hint 99,"Det var da ikke så BAD, var det?"
Alternate Hint 100,Tillykke med sejren i runde 100! Nyd din belønning!
,
// iap ,
Max Level,Maks. niveau
Processing,Behandler
Purchased,Købt
Purchase failed,Køb mislykkedes. Tjek din internetforbindelse og enheds-indlogning.
,
// Time,
days,dage
day,dag
hours,timer
hour,time
minutes,minutter
minute,minut
seconds,sekunder
second,sekund
,
// Store: standard,
btd6_monkeymoney,Abepenge
btd6_monkeymoney Description,En god håndfuld abepenge.
btd6_pileomonkeymoney,Bunkevis af abepenge
btd6_pileomonkeymoney Description,En dejlig stor bunke abepenge.
btd6_vaultomonkeymoney,Boks med abepenge
btd6_vaultomonkeymoney Description,En hel bankboks fyldt til randen med abepenge!
btd6_mountainomonkeymoney,Bjerg af abepenge
btd6_mountainomonkeymoney Description,Du skal bruge et helt hold bæreaber for at nå toppen af dette kæmpe bjerg med abepenge.
btd6_towerxp,(5000) Abe XP
btd6_towerxp Description,Få {0} XP for dit yndlings abetårn nu!
btd6_fulltowerunlock,Lås op for alle aber
btd6_fulltowerunlock Description,Lås op for alle opgraderinger for et abetårn med det samme.
btd6_doublecashmode,Dobbelt Penge-tilstand
btd6_doublecashmode Description,Få dobbelt så mange penge i spillet for evigt! Kan slås fra.
btd6_knowledgeunlocked,Kundskab låst op
btd6_knowledgeunlocked Description,Lås op for abekundskabens hemmeligheder! Stig øjeblikkeligt til rang {0} og få også {1} bonus kundskabspoint!
btd6_knowledgepoint,Kundskabspoint
btd6_knowledgepoint Description,Bliv abeklog med dette kundskabspoint.
btd6_herobooster,Helte-booster
btd6_herobooster Description,"Din aktuelt valgte helt stiger til niveau {0}, indtil slutningen af dette spil."
btd6_powersattackpack,Kraft-angrebspakke
btd6_powersattackpack Description,Et udvalg af {0} abekræfter med fokus på kamp.
btd6_instatowerspack,Insta'abe-pakke
btd6_instatowerspack Description,"5 abetårne, der står klar til at blive placeret helt gratis! Indeholder 2 tårne på niveau 1, 2 på niveau 2 og 1 på niveau 3."
btd6_tier3instatowerspack,"Insta'abe-pakke, niveau 3"
btd6_tier3instatowerspack Description,"10 abetårne på niveau 3, der står klar til at blive placeret helt gratis!"
btd6_tier4instatowerspack,"Insta'abe-pakke, niveau 4"
btd6_tier4instatowerspack Description,"10 abetårne på niveau 4, der står klar til at blive placeret helt gratis!"
btd6_needmoremonkeymoneyprompt,Ikke nok abepenge? Køb flere!
,
,
// Store: Limited Time Packs,
btd6_knowledgepoints,{0} Kundskabspoint
btd6_knowledgepoints Description,Grib {0} abekundskabspoint med det samme!
btd6_extraTowerxp,Ekstra tårn-EP {0}
btd6_extraTowerxp Description,Optjen {0} EP til dit favorittårn nu!
btd6_extramonkeymoney,Ekstra abepenge
btd6_extramonkeymoney Description,Særtilbud! {0} abepenge til en meget lav pris.
btd6_powerspandamonium,Kræfter så det batter
btd6_powerspandamonium Description,"Med vores kombinerede kræfter! {0} af de bedste abekræfter, du kan få, i en enkelt pakke."
btd6_instatowersmegabooster,Insta'abe mega booster
btd6_instatowersmegabooster Description,"Denne mega pakke indeholder 5 insta'abe tårne på niveau 2, 12 på niveau 3 og 3 på niveau 4, der står klar til at blive placeret helt gratis!"
btd6_megamonkeycompendiumpack,Mega abekompendium-pakke
btd6_megamonkeycompendiumpack Description,"En kæmpe pakke, der er fuld af lækkerier! 25.000 abepenge, 100 angrebskræfter, 30 insta'abe-tårne på niveau 3, 15 på niveau 4, 5 på niveau 5 samt oplåste kundskaber (rang 30, 5 bonus AK-point)!"
btd6_tier5instatowerpack,Niveau 5 Insta'abe-pakke
btd6_tier5instatowerpack Description,"10 abetårne på niveau 5, der står klar til at blive placeret helt gratis!"
,
// Store: Sale packs,
btd6_pileomonkeymoney_sale,Udsalg på Bunkevis af abepenge
btd6_pileomonkeymoney_sale Description,En dejlig stor bunke abepenge.
btd6_vaultomonkeymoney_sale,Udsalg på en stor bankboks med abepenge.
btd6_vaultomonkeymoney_sale Description,En hel bankboks fyldt til randen med abepenge!
btd6_knowledgepoints_sale,Udsalg på {0} kundskabspoint
btd6_knowledgepoints_sale Description,Grib {0} abekundskabspoint med det samme!
btd6_instatowersmegabooster_sale,Udsalg på Insta'abe mega booster
btd6_instatowersmegabooster_sale Description,"Denne mega pakke indeholder 5 insta'abe tårne på niveau 2, 12 på niveau 3 og 3 på niveau 4, der står klar til at blive placeret helt gratis!"
btd6_tier3instatowerspack_sale,"Udsalg på Insta'abe-pakke, niveau 3"
btd6_tier3instatowerspack_sale Description,"10 abetårne på niveau 3, der står klar til at blive placeret helt gratis!"
btd6_tier4instatowerspack_sale,"Udsalg på Insta'abe-pakke, niveau 4"
btd6_tier4instatowerspack_sale Description,"10 abetårne på niveau 4, der står klar til at blive placeret helt gratis!"
,
Restore,Gendan
Today,I dag
DailyRewardDay,Dag {0}
Sale Ends In,Udsalget slutter om: 
Offer Ends In,Tilbuddet slutter om: 
Promo Ends In,Kampagnesalget slutter om: 
Loot.TowerXP.Title,{0} EP
Loot.Base.Description,x {0}
Loot.BaseAdd.Description,+ {0}
Loot.InstaRank.Description,Niveau {0}
Loot.DoubleCashMode.Title,Dobbelt Penge-tilstand
Loot.FullTowerUnlock.Title,{0} fuld oplåsning for tårne
Loot.HeroBooster.Title,Helte-booster
Loot.InstaRankToLevel.Title,Stig øjeblikkeligt til niveau {0}
Loot.PowerPacks.Title,Kraft-pakker
Loot.KnowledgePoints.Title,Kundskabspoint
Loot.MonkeyMoney.Title,Abepenge
Loot.RandomInstaTower.Title,Tilfældig insta'abe
Loot.RandomAttackPower.Title,Tilfældig angrebskraft
Loot.RandomBestPower.Title,Tilfældig bedste kraft
Loot.RandomInstaTowerTier.Title,Insta'abe på niveau {0}
,
ExistingData.Title,Eksisterende data fundet
ExistingData.Message,Niveau {0}\nVil du beholde disse data eller rydde det?
ExistingData.Clear,Ryd
ExistingData.Keep,Behold
,
Shop.Title,Køb
Shop.SubHeading,Forkæl dig selv lidt. Du fortjener det!
Shop.Sale,Udslag
Shop.Bonus,Bonus
Claimed,Indløst
Map,Bane
Difficulty,Sværhedsgrad
Monkeys Available:,Abeevner:
Go,Start!
Knowledge,Kundskab
Daily Reward,Daglig belønning
Settings,Indstillinger
Language,Sprog
Events,Begivenheder
Upgrades:,Opgraderinger:
Ingame cost:,Pris i spillet:
Select,Vælg
Path Closed,Sti lukket
Store unavailable,Butik ikke tilgængelig
,
// ------------- Monkey Knowledge,
// Primary,
IncreasedLifespan,Øget Varighed
IncreasedLifespanDescription,"Øget projektilvarighed for dart-aber, bombekanoner, stiftpistoler og limskyder."
ExtraDartPops,Ekstra Dart-springkraft
ExtraDartPopsDescription,Alle dart-abers skud får +1 springkraft.
CheapRangs,Billige B'ranger
CheapRangsDescription,Boomerangkasterens grundpris reduceres med 50.
FraggyFrags,Fraggende Fraggere
FraggyFragsDescription,Fragmenteringsbomber får 2 ekstra fragmenter.
FastGlue,Hurtiglim
FastGlueDescription,Limskydere får 10 % øget angrebshastighed.
IcyChill,Isende Kulde
IcyChillDescription,Fryse-radius lettere formindsket
HardTacks,Hårde Stifter
HardTacksDescription,Stiftpistoler kan springe frosne bloons.
CrossbowReach,Armbrøst-rækkevidde
CrossbowReachDescription,Øget armbrøst-rækkevidde
4And4,4 og 4
4And4Description,Dart-abens tredobbelt skud affyrer 4 dartpile på hvert 4. skud.
ForceVsForce,Magt mod Magt
ForceVsForceDescription,Kæmpepult gør +2 mere skade pr. skud mod MOAB-klasse-bloons.
MasterDoubleCross,Dobbelt Armbrøst
MasterDoubleCrossDescription,Giver dig mulighed for at have TO armbrøstmestre.
ExtraBounce,Ekstra Hop
ExtraBounceDescription,Øger boomerang-rikochettering til at kunne rikochettere op til 80 gange.
LongTurbo,Total Turbo
LongTurboDescription,Boomerang turboladnings-evne varer i 15 sekunder
HardPress,Hårdt Press
HardPressDescription,MOAB-presse skubber 30 % længere tilbage.
MegaMauler,Mega Mukkert
MegaMaulerDescription,MOAB-mukkert gør mere skade pr. træfning.
ViolentImpact,Voldsomt Sammenstød
ViolentImpactDescription,Bombekanon lammer 25 % længere ved træfning.
BudgetClusters,Discount-klynger
BudgetClustersDescription,Prisen på bombekanonens klyngebomber reduceres med 100.
FastTackAttacks,Hurtige Stifter
FastTackAttacksDescription,Stiftpistols angrebshastighed øget med 8 %.
PoppyBlades,Valmueklinger
PoppyBladesDescription,Klingeskyder-opgradering får +2 springkraft.
BigInferno,Stort Inferno
BigInfernoDescription,Infernoring-opgradering får +3 sprængradius.
SoCold,Så... Koldt...
SoColdDescription,Is-abes Permafrost-opgradering sænkes med 60 %.
BigCryoBlast,Kæmpe Kryo-eksplosion
BigCryoBlastDescription,Kryo-kanons sprængradius øges.
Hypothermia,Nedkøling
HypothermiaDescription,Snestormsevne fryser bloons i længere tid.
MoreSplattyGlue,Mere Limklat-splat
MoreSplattyGlueDescription,Limsprøjter kan dække op til 8 bloons pr. skud.
AviationGradeGlue,Flycertificeret Lim
AviationGradeGlueDescription,MOAB-lim hæmmer mere end normalt.
CheaperSolution,Billigere Opløsning
CheaperSolutionDescription,Bloon-smelters pris reduceret med 1000.
BonusMonkey,Bonus-abe!
BonusMonkeyDescription,Start spillet med 1 gratis dart-abe!
MoreCash,Flere Penge
MoreCashDescription,Øger dit startbeløb med 200.
,
// Support,
FlatPackBuildings,Typehuse
FlatPackBuildingsDescription,Farm og landsby koster 2 % mindre og sælges for 2 % mere.
FarmSubsidy,Landbrugsstøtte
FarmSubsidyDescription,Første bananfarm i hvert spil koster 100 mindre.
MoreValuableBananas,Mere Værdifulde Bananer
MoreValuableBananasDescription,Værdifulde Bananer-opgradering øges til 30 %.
VigilantSentries,Vagtsomme Sensormaskingeværer
VigilantSentriesDescription,Sensormaskingeværer varer længere end normalt.
OneMoreSpike,Bare Ét Søm Mere
OneMoreSpikeDescription,Stakke fra sømfabrik får +1 søm.
GlobalAbilityCooldowns,Global Evne-nedkøling
GlobalAbilityCooldownsDescription,Alle evners nedkøling reduceret med 3 % for alle aber.
EliteTutors,Eliteundervisere
EliteTutorsDescription,Genererer yderligere +15 EP pr. runde til din helt.
InsiderTrades,Insiderhandel
InsiderTradesDescription,Abestreger-rabat øges med 2 %.
BiggerBanks,Større Bank(er)
BiggerBanksDescription,Abebanker har plads til 2500 ekstra penge.
BackroomDeals,Handel i Porten
BackroomDealsDescription,IMF-lån øges til 12.000 $ og tilbagebetalingsraten er 40 %.
ThickerFoams,Tykkere Skum
ThickerFoamsDescription,"Rensende skum kan ramme 3 flere bloons, før den opløses."
BigTraps,Store Fælder
BigTrapsDescription,Bloonfælden kan indeholde 30 flere RBE.
BetterSellDeals,Bedre Salgsaftaler
BetterSellDealsDescription,Alle aber sælges for 5% mere
VeryShreddy,Meget Makulatorisk
VeryShreddyDescription,Søm fra MOAB-MAKULATOR gør +1 ekstra skade mod MOAB-klasse-bloons.
HiValueMines,Værdifulde Miner
HiValueMinesDescription,Sømminers pris reduceret med 1500.
LongGraduation,12-tals Elev
LongGraduationDescription,Akademidimittend-evne varer længere.
InlandRevenueStreams,Handl Lokalt
InlandRevenueStreamsDescription,Abebys pengebonus øges med 10 %.
ToArms,Til VÅBEN!
ToArmsDescription,Varigheden af Kalde til våben-evnen øges med 3 %.
VeteranMonkeyTraining,Veterantræning
VeteranMonkeyTrainingDescription,Alle abers ladningstid reduceres med 3 %.
