//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Kliknij
Alternate Hint 8,"Hmm, ciekawe, kiedy przybędzie pierwszy ołowiany..."
Alternate Hint 21,"Doskonały przykład rundy, które nazywam „głodem gotówki”..."
Alternate Hint 39,"Następna runda: MOAB, jak zwykle. A może nie?"
Alternate Hint 59,A za chwilę przybędzie BLB. A może jednak PBLB?
Alternate Hint 77,Następna runda będzie bardzo niefajna...
Alternate Hint 79,"ZOMG, było ciężko..."
Alternate Hint 99,"To nie było WSZystko, co?"
Alternate Hint 100,Gratulujemy pobicia rundy 100! Zasługujesz na nagrodę!
,
// iap ,
Max Level,Maksymalny poziom
Processing,Przetwarzanie
Purchased,Zakupiono
Purchase failed,"Zakup zakończony niepowodzeniem. Upewnij się, że masz połączenie z siecią i jesteś zalogowany do swojego urządzenia."
,
// Time,
days,dn.
day,dn.
hours,godz.
hour,godz.
minutes,min.
minute,min.
seconds,sek.
second,sek.
,
// Store: standard,
btd6_monkeymoney,Małpia kasa
btd6_monkeymoney Description,Sensowna ilość małpiej kasy.
btd6_pileomonkeymoney,Taczka małpiej kasy
btd6_pileomonkeymoney Description,Wielka taczka małpiej kasy.
btd6_vaultomonkeymoney,Skarbiec z małpią kasą
btd6_vaultomonkeymoney Description,Ogromny skarbiec wypełniony po brzegi małpią kasą!
btd6_mountainomonkeymoney,Góra małpiej kasy
btd6_mountainomonkeymoney Description,"Będziesz potrzebować całego zastępu małpich szerpów, aby dotrzeć na szczyt tej przeogromnej góry małpiej kasy."
btd6_towerxp,(5000) małpich PD
btd6_towerxp Description,Zdobądź {0} PD dla swojej ulubionej małpiej wieży już teraz!
btd6_fulltowerunlock,Pełne odblokowanie małpki
btd6_fulltowerunlock Description,Natychmiast odblokowuje wszystkie ulepszenia dla wybranej małpiej wieży.
btd6_doublecashmode,Tryb podwójnej kasy
btd6_doublecashmode Description,Będziesz otrzymywać dwa razy więcej kasy w grze po wsze czasy! Zawsze możesz wyłączyć.
btd6_knowledgeunlocked,Odblokowana wiedza
btd6_knowledgeunlocked Description,Odblokowujesz sekrety małpiej wiedzy! Natychmiast awansujesz na poziom {0} i otrzymujesz {1} bonusowych punktów małpiej wiedzy!
btd6_knowledgepoint,Punkt wiedzy
btd6_knowledgepoint Description,Dzięki temu punktowi wiedzy zdobędziesz masę informacji na temat życia małpek.
btd6_herobooster,Wzmacniacz bohatera
btd6_herobooster Description,Wybrany w danej grze bohater natychmiast wchodzi na poziom {0} i pozostaje na nim aż do końca gry.
btd6_powersattackpack,Pakiet mocy ofensywnych
btd6_powersattackpack Description,Pakiet składający się z {0} różnych mocy skoncentrowanych na walce.
btd6_instatowerspack,Pakiet natychmiastowych małpek
btd6_instatowerspack Description,"5 małpich wież do postawienia bez wydawania kasy w grze! Zawiera 2 wieże z rzędu I, 2 z rzędu II i 1 z rzędu III. "
btd6_tier3instatowerspack,Pakiet natychmiastowych małpek z rzędu III
btd6_tier3instatowerspack Description,10 małpich wież z rzędu III do postawienia bez wydawania kasy w grze!
btd6_tier4instatowerspack,Pakiet natychmiastowych małpek z poziomu IV
btd6_tier4instatowerspack Description,10 małpich wież z rzędu IV do postawienia bez wydawania kasy w grze!
btd6_needmoremonkeymoneyprompt,Za mało małpiej kasy! Chcesz zakupić więcej?
,
,
// Store: Limited Time Packs,
btd6_knowledgepoints,{0} pkt. wiedzy
btd6_knowledgepoints Description,Zgarnij {0} pkt. małpiej wiedzy już teraz!
btd6_extraTowerxp,Dodatkowe ({0}) PD wieży
btd6_extraTowerxp Description,Zdobądź {0} PD dla swojej ulubionej wieży już teraz!
btd6_extramonkeymoney,Dodatkowa małpia kasa
btd6_extramonkeymoney Description,Oferta specjalna! {0} małpiej kasy w bardzo niskiej cenie.
btd6_powerspandamonium,Pandemonium mocy
btd6_powerspandamonium Description,Połączmy wszystkie nasze moce! Oto {0} najlepszych małpich mocy dostępnych w jednym zestawie.
btd6_instatowersmegabooster,Natychmiastowy megawzmacniacz małpek
btd6_instatowersmegabooster Description,"Ten megapakiet zawiera następujące małpie wieże do postawienia bez wydawania kasy w grze: 5 natychmiastowych wież rzędu II, 12 rzędu III oraz 3 rzędu IV!"
btd6_megamonkeycompendiumpack,Megapakiet kompendium małpek
btd6_megamonkeycompendiumpack Description,"Ogromny pakiet, pełen absolutnie fantastycznych pozycji! 25 000 szt. małpiej kasy, 100 ofensywnych mocy, 30 natychmiastowych wież rzędu III, 15 rzędu IV, 5 rzędu V oraz odblokowanie całej wiedzy (poziom 30, 5 bonusowych punktów małpiej wiedzy)!"
btd6_tier5instatowerpack,Pakiet natychmiastowych małpek z rzędu V
btd6_tier5instatowerpack Description,10 małpich wież z rzędu V do postawienia bez wydawania kasy w grze!
,
// Store: Sale packs,
btd6_pileomonkeymoney_sale,Wyprzedaż: Taczka małpiej kasy
btd6_pileomonkeymoney_sale Description,Wielka taczka małpiej kasy.
btd6_vaultomonkeymoney_sale,Wyprzedaż: Skarbiec z małpią kasą
btd6_vaultomonkeymoney_sale Description,Ogromny skarbiec wypełniony po brzegi małpią kasą!
btd6_knowledgepoints_sale,Wyprzedaż: {0} PD wiedzy
btd6_knowledgepoints_sale Description,Zgarnij {0} pkt. małpiej wiedzy już teraz!
btd6_instatowersmegabooster_sale,Wyprzedaż: Natychmiastowy megawzmacniacz małpek
btd6_instatowersmegabooster_sale Description,"Ten megapakiet zawiera następujące małpie wieże do postawienia bez wydawania kasy w grze: 5 natychmiastowych wież rzędu II, 12 rzędu III oraz 3 rzędu IV!"
btd6_tier3instatowerspack_sale,Wyprzedaż: Pakiet natychmiastowych małpek z rzędu III
btd6_tier3instatowerspack_sale Description,10 małpich wież z rzędu III do postawienia bez wydawania kasy w grze!
btd6_tier4instatowerspack_sale,Wyprzedaż: Pakiet natychmiastowych małpek z rzędu IV
btd6_tier4instatowerspack_sale Description,10 małpich wież z rzędu IV do postawienia bez wydawania kasy w grze!
,
Restore,Odzyskaj
Today,Dzisiaj
DailyRewardDay,Dzień {0}
Sale Ends In,Koniec wyprzedaży:
Offer Ends In,Koniec oferty:
Promo Ends In,Koniec promki:
Loot.TowerXP.Title,{0} PD
Loot.Base.Description,x {0}
Loot.BaseAdd.Description,+ {0}
Loot.InstaRank.Description,Poz. {0}
Loot.DoubleCashMode.Title,Tryb podwójnej kasy
Loot.FullTowerUnlock.Title,Odblokowanie pełnej wieży {0}
Loot.HeroBooster.Title,Wzmacniacz bohatera
Loot.InstaRankToLevel.Title,Natychmiast osiągasz poziom {0}
Loot.PowerPacks.Title,Pakiety mocy
Loot.KnowledgePoints.Title,Punkty wiedzy
Loot.MonkeyMoney.Title,Małpia kasa
Loot.RandomInstaTower.Title,Losowa natychmiastowa małpka
Loot.RandomAttackPower.Title,Losowa moc ofensywna
Loot.RandomBestPower.Title,Losowa najlepsza moc
Loot.RandomInstaTowerTier.Title,Natychmiastowa małpka rzędu {0}
,
ExistingData.Title,Odnaleziono wcześniejsze dane
ExistingData.Message,"poziom {0}\nChcesz zachować te dane, czy usunąć?"
ExistingData.Clear,Usuń
ExistingData.Keep,Zachowaj
,
Shop.Title,Sklep
Shop.SubHeading,Nie krępuj się — zasługujesz na to!
Shop.Sale,Wyprzedaż
Shop.Bonus,Bonus
Claimed,Odebrano
Map,Mapa
Difficulty,Poziom trudności
Monkeys Available:,Dostępnych małpek:
Go,Ruszamy!
Knowledge,Wiedza
Daily Reward,Dzienna nagroda
Settings,Ustawienia
Language,Język
Events,Wydarzenia
Upgrades:,Ulepszenia:
Ingame cost:,Koszt w grze:
Select,Wybierz
Path Closed,Ścieżka zamknięta
Store unavailable,Sklep niedostępny
,
// ------------- Monkey Knowledge,
// Primary,
IncreasedLifespan,Zwiększona żywotność
IncreasedLifespanDescription,"Zwiększona żywotność pocisków małpek z rzutkami, działa bombowego, działa gwoździowego i strzelca klejowego."
ExtraDartPops,Ekstra przekłucia rzutkami
ExtraDartPopsDescription,Małpki z rzutkami otrzymują +1 do przebicia na wszystkie strzały.
CheapRangs,Tanie bumerangi
CheapRangsDescription,Podstawowy koszt rzucającego bumerangami zredukowany o 50.
FraggyFrags,Odłamki odłamków
FraggyFragsDescription,Bomby odłamkowe dostają 2 dodatkowe odłamki.
FastGlue,Szybki klej
FastGlueDescription,Strzelec klejowy ma 10% większą prędkość ataku.
IcyChill,Mroźny ziąb
IcyChillDescription,Promień zamrażania nieznacznie się zwiększa.
HardTacks,Ciężkie gwoździe
HardTacksDescription,Gwoździe z działa gwoździowego mogą przekłuwać zamrożone blony.
CrossbowReach,Zasięg kuszy
CrossbowReachDescription,Zwiększony zasięg kuszy.
4And4,4 i 4
4And4Description,Co czwarty potrójny strzał małpki z rzutkami ma 4 rzutki.
ForceVsForce,Siła kontra siła
ForceVsForceDescription,Katapulta ma +2 do obrażeń na strzał w blony klasy MOAB.
MasterDoubleCross,Podwójny mistrz kuszy
MasterDoubleCrossDescription,Pozwala ci mieć DWÓCH mistrzów kuszy.
ExtraBounce,Ekstra odbicie
ExtraBounceDescription,"Zwiększa rykoszet bumerangów, by mogły odbijać się do 80 razy."
LongTurbo,Długie turbo
LongTurboDescription,Umiejętność turbodoładowania bumerangu działa 15 sekund.
HardPress,Twarda presja
HardPressDescription,MOAB presja cofa o 30% dalej.
MegaMauler,Mega zabijaka
MegaMaulerDescription,Zabijaka MOAB-ów zadaje większe obrażenia na trafienie.
ViolentImpact,Brutalne uderzenie
ViolentImpactDescription,Uderzenie działa bombowego ogłusza o 25% dłużej.
BudgetClusters,Budżetowe kasetowe
BudgetClustersDescription,Koszt bomb kasetowych z działa bombowego zmniejszony o 100.
FastTackAttacks,Szybki atak gwoździa
FastTackAttacksDescription,Atak działa gwoździowego szybszy o 8%.
PoppyBlades,Kłujące ostrza
PoppyBladesDescription,Ulepszenie działo na ostrza dostaje +2 do przebicia.
BigInferno,Wielkie piekło
BigInfernoDescription,Ulepszenie pierścień ognia dostaje +3 do promienia wybuchu.
SoCold,Tak… zimno…
SoColdDescription,Ulepszenie zmarzlina lodowej małpki spowalnia o 60%.
BigCryoBlast,Wieki kriowybuch
BigCryoBlastDescription,Krio działo ma zwiększony promień wybuchu.
Hypothermia,Hipotermia
HypothermiaDescription,Śnieżna burza zamraża blony na dłużej.
MoreSplattyGlue,Rozpaćkany klej
MoreSplattyGlueDescription,Kleisty rozbryzg może objąć do 8 blonów na strzał.
AviationGradeGlue,Klej lotniczy
AviationGradeGlueDescription,Klej MOAB spowalnia bardziej niż zwykle.
CheaperSolution,Tańsze rozwiązanie
CheaperSolutionDescription,Koszt skraplacza blonów zmniejszony o 1000.
BonusMonkey,Bonusowa małpka!
BonusMonkeyDescription,Zaczynaj każdą grę z 1 darmową małpką z rzutkami! (Tylko 1 darmowa małpia wieża na grę)
MoreCash,Więcej kasy
MoreCashDescription,Zwiększa początkową gotówkę o 200.
,
// Support,
FlatPackBuildings,Upakowane budynki
FlatPackBuildingsDescription,Farma i wioska kosztują 2% mniej i można je sprzedać za 2% więcej.
FarmSubsidy,Dotacja na farmę
FarmSubsidyDescription,Pierwsza bananowa farma w każdej grze kosztuje o 100 mniej.
MoreValuableBananas,Więcej cennych bananów
MoreValuableBananasDescription,Ulepszenie Cenne banany wzrasta do 30%.
VigilantSentries,Czujne wieżyczki
VigilantSentriesDescription,Wieżyczki strażnicze działają dłużej niż zwykle.
OneMoreSpike,Jeden kolec więcej
OneMoreSpikeDescription,Stosy z fabryki kolców dostają +1 kolec.
GlobalAbilityCooldowns,Globalne odnowienia umiejętności
GlobalAbilityCooldownsDescription,Wszystkie odnowienia umiejętności dla wszystkich małpek zredukowane o 3%.
EliteTutors,Elitarni nauczyciele
EliteTutorsDescription,Generuje dodatkowe +15 PD na rundę dla twojego bohatera.
InsiderTrades,Wewnętrzne transakcje
InsiderTradesDescription,Zniżka małpi biznes zwiększa się o 2%.
BiggerBanks,Większe banki
BiggerBanksDescription,Małpie banki mogą trzymać 2500 dodatkowej gotówki.
BackroomDeals,Handel pod stołem
BackroomDealsDescription,"Kwota pożyczki wzrasta do 12 000 $, a odsetki wynoszą 40%."
ThickerFoams,Gęstsza pianka
ThickerFoamsDescription,Pianka czyszcząca trafia 3 blony więcej przed przeterminowaniem.
BigTraps,Wielkie pułapki
BigTrapsDescription,Blonowa pułapka może utrzymać o 30 ECB więcej.
BetterSellDeals,Korzystniejsza sprzedaż
BetterSellDealsDescription,Wszystkie małpki sprzedają się za 5% więcej.
VeryShreddy,Bardzo poszarpane
VeryShreddyDescription,Kolce SZARPO MOAB zadają +1 dodatkowych obrażeń blonom klasy MOAB.
HiValueMines,Miny wysokiej wartości
HiValueMinesDescription,Koszt kolczastych min zredukowany o 1500.
LongGraduation,Długa nauka
LongGraduationDescription,Absolwent Akademii działa dłużej.
InlandRevenueStreams,Krajowe przychody
InlandRevenueStreamsDescription,Bonus pieniężny małpiego miasteczka wzrasta o 10%.
ToArms,Do BRONI!
ToArmsDescription,Do broni trwa o 3 sekundy dłużej.
VeteranMonkeyTraining,Trening weterana
VeteranMonkeyTrainingDescription,Czas przeładowania wszystkich małpek zredukowany o 3%.
MonkeyEducation,Małpia edukacja
MonkeyEducationDescription,Prędkość zdobywania PD dla wszystkich małpek zwiększona o 8%.
,
// Military,
AdvancedLogistics,Zaawansowana logistyka
AdvancedLogisticsDescription,Koszt podstawowy wszystkich militarnych małpek zredukowany o 5%.
GunCoolant,Chłodzenie działa
GunCoolantDescription,Małpki piloci atakują o 10% szybciej.
CeramicShock,Ceramiczny wstrząs
CeramicShockDescription,Trafienia snajpera w ceramiczne blony przelotnie je spowalniają.
NavalUpgrades,Morskie ulepszenia
NavalUpgradesDescription,Małpki piraci i podwodne małpki otrzymują +1 do przebicia na strzał.
TradeAgreements,Umowy handlowe
TradeAgreementsDescription,Kupiec generuje +20 $ na rundę.
AirforceUpgrades,Ulepszenia lotnictwa
AirforceUpgradesDescription,Małpka pilot i pilot helikoptera otrzymują +1 do przebicia na strzał.
BroadBladeDartlings,Rzutki z szerokim ostrzem
BroadBladeDartlingsDescription,Strzały armatek rzutkowych łatwiej trafiają w blony.
BreakingBallistic,Łamiące balisty
BreakingBallisticDescription,Rakiety balistyczne zadają większe obrażenia ceramicznym blonom.
AcceleratedAerodarts,Przyspieszone aerorzutki
AcceleratedAerodartsDescription,Rzutki małpek pilotów latają szybciej.
RapidRazors,Prędkie brzytwy
RapidRazorsDescription,Obrotowe brzytwy szybciej przekłuwają blony.
BudgetBattery,Budżetowa bateria
BudgetBatteryDescription,Koszt baterii artyleryjskiej zredukowany o 600.
PaintStripper,Zdzieracz farby
PaintStripperDescription,Druzgocące pociski z moździerza usuwają ufortyfikowanie z blonów MST.
CheaperMaiming,Tańsze okaleczanie
CheaperMaimingDescription,Koszt okaleczyć MOAB-y zmniejszony o 1000.
ChargedChinooks,Doładowane Chinooki
ChargedChinooksDescription,Aktywowane umiejętności Chinooka dają 25% więcej żyć i gotówki.
ExtraBurnyStuff,Coś ekstra płonącego
ExtraBurnyStuffDescription,Coś płonącego przekłuwa co sekundę.
DartlingCoolant,Chłodzenie rzutek
DartlingCoolantDescription,Szybkość ataku armatki rzutkowej wzrasta o 10%.
MoreBuckshot,Więcej śrutu!
MoreBuckshotDescription,Śrut strzela pięcioma pociskami.
BigBunch,Duża kiść
BigBunchDescription,Winogronowa kula to 6 winogron.
TargetedPineapples,Celowane ananasy
TargetedPineapplesDescription,Ananasy są zrzucane tylko blisko ścieżek.
EliteMilitaryTraining,Elitarny trening militarny
EliteMilitaryTrainingDescription,Wszystkie militarne małpki dostają jednorazowo +1000 PD i zdobywają PD w grze o 5% szybciej.
MasterDefender,Mistrz obrony
MasterDefenderDescription,Obrońca wyborowy nie potrzebuje odnowienia.
BigBloonSabotage,Sabotaż dużych blonów
BigBloonSabotageDescription,Wszystkie pojawiające się blony klasy MOAB są już częściowo uszkodzone.
FasterTakedowns,Szybsza eliminacja
FasterTakedownsDescription,Umiejętność eliminacji MOAB-ów odnawia się o 5 sekund szybciej.
SubAdmiral,Podwodny admirał
SubAdmiralDescription,Podwodny dowódca wpływa na wszystkie podwodne małpki na ekranie.
MilitaryConscription,Pobór wojskowy
MilitaryConscriptionDescription,Koszt zakupu pierwszej militarnej małpki w każdej grze jest mniejszy o jedną trzecią.
AeronauticSubsidy,Dotacja lotnicza
AeronauticSubsidyDescription,Ulepszenia rzędu 5 dla małpki pilota kosztują 10% mniej.
FocusedPlasma,Skupiona plazma
FocusedPlasmaDescription,Akcelerator plazmy szybciej zadaje obrażenia.
QuadBurst,Poczwórny wybuch
QuadBurstDescription,Wybuchowe rzutki dzielą się na 4 zamiast 3.
,
// Heroes,
QuickHands,Szybkie ręce
QuickHandsDescription,Wszyscy bohaterowie atakują 4% szybciej.
MoreSplody,Większe bum
MoreSplodyDescription,Broń wybuchowa bohaterów otrzymuje +2 do przebicia na strzał.
HeroicReach,Bohaterski zasięg
HeroicReachDescription,Wszyscy bohaterowie otrzymują nieznacznie większy zasięg.
HeroicVelocity,Bohaterska prędkość
HeroicVelocityDescription,Prędkość wszystkich pocisków bohaterów nieznacznie wzrasta.
SelfTaughtHeroes,Bohaterowie samouki
SelfTaughtHeroesDescription,Bohaterowie zdobywają PD o 10% szybciej.
HeroFavors,Bohaterskie przysługi
HeroFavorsDescription,Podstawowy koszt bohaterów zmniejsza się o 10%.
Scholarships,Stypendia
ScholarshipsDescription,Koszty treningu bohaterów zmniejszają się o 10%.
AbilityDiscipline,Dyscyplina umiejętności
AbilityDisciplineDescription,Umiejętność odnowy u bohaterów na poziomie 10 skrócona o 10%.
