//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klikk
Loot.FullTowerUnlock.Title,{0} full tårnopplåsning
Loot.HeroBooster.Title,Helteøkning
Loot.InstaRankToLevel.Title,Hurtigrangering til nivå {0}
Loot.PowerPacks.Title,Kraftpakker
Loot.KnowledgePoints.Title,Kunnskapspoeng
Loot.MonkeyMoney.Title,Apepenger
Loot.RandomInstaTower.Title,Tilfeldig Hurtigape
Loot.RandomAttackPower.Title,Tilfeldig angrepskraft
Loot.RandomBestPower.Title,Tilfeldig beste kraft
Loot.RandomInstaTowerTier.Title,Hurtigape på nivå {0}
,
ExistingData.Title,Eksisterende data funnet
ExistingData.Message,nivå {0}\nVil du beholde disse dataene eller fjerne dem?
ExistingData.Clear,Fjern
ExistingData.Keep,Behold
,
Shop.Title,Butikk
Shop.SubHeading,"Kom igjen, belønn deg selv. Du fortjener det!"
Shop.Sale,Salg
Shop.Bonus,Bonus
Claimed,Fått
Map,Kart
Difficulty,Vanskelighetsgrad
Monkeys Available:,Tilgjengelige aper:
Go,GÅ TIL
Knowledge,Kunnskap
Daily Reward,DAGLIG BELØNNING
Settings,INNSTILLINGER
Language,Språk:
Events,Hendelser
Upgrades:,Oppgraderinger:
Ingame cost:,Pris i spill
Select,Velg
Path Closed,Sti stengt
Store unavailable,Butikk utilgjengelig
,
// ------------- Monkey Knowledge,
// Primary,
IncreasedLifespan,Økt levetid
IncreasedLifespanDescription,"Lenger prosjektil-levetid for Dart-aper, Bombeskyter, Stiftskyter og Limskyter."
ExtraDartPops,Ekstra Dart-pop
ExtraDartPopsDescription,Dart-aper får +1 gjennomtrengning på alle skudd.
CheapRangs,Billige 'ranger
CheapRangsDescription,Grunnpris for Bumerangkaster redusert med 50.
FraggyFrags,Fraggete Fragmenter
FraggyFragsDescription,Fragmentbomber får to ekstra fragmenter
FastGlue,Kjapt lim
FastGlueDescription,Limskyter får 10% økt angrepshastighet.
IcyChill,Isende kulde
IcyChillDescription,Fryseradius økt litt.
HardTacks,Harde stifter
HardTacksDescription,Stiftskyter kan poppe frosne bloons.
CrossbowReach,Armbrøst-rekkevidde
CrossbowReachDescription,Armbrøst-rekkevidde økt.
4And4,4 og 4
4And4Description,Dart-apers trippelskudd får 4 dartpiler på hvert 4. skudd.
ForceVsForce,Kraft mot kraft
ForceVsForceDescription,Juggernaut gjør +2 skade per skudd mot bloons av MOAB-klasse.
MasterDoubleCross,Mester av dobbeltbue
MasterDoubleCrossDescription,Gjør det mulig å ha TO armbrøstmestere.
ExtraBounce,Ekstra spretten
ExtraBounceDescription,Øk bumerangsprett med opptil 80 sprett.
LongTurbo,Lang turbo
LongTurboDescription,Bumerang-turboladningsevne varer i 15 sekunder.
HardPress,Hardt press
HardPressDescription,MOAB-presse skyver 30% lenger tilbake.
MegaMauler,Mega-kløyver
MegaMaulerDescription,MOAB-kløyver gjør mer skade per treff.
ViolentImpact,Voldsomt treff
ViolentImpactDescription,Bombeskyteres bloontreff lammer 25% lenger.
BudgetClusters,Økonomiklaser
BudgetClustersDescription,Kostnaden for bombeskyters klasebomber redusert med 100.
FastTackAttacks,Raskt stifteangrep
FastTackAttacksDescription,Stiftskyters angrepshastighet øker med 8%.
PoppyBlades,Poppeblader
PoppyBladesDescription,Bladskyter-oppgradering gir +2 gjennomtrengning.
BigInferno,Stort inferno
BigInfernoDescription,Oppgradert Inferno-ring gir +3 smellradius.
SoCold,Så … kaldt …
SoColdDescription,Isapes Permafrost-oppgradering sakker ned med 60%.
BigCryoBlast,Stort kryosmell
BigCryoBlastDescription,Kryokanon øker smellradius.
Hypothermia,Hypotermi
HypothermiaDescription,Snøstorm fryser bloons lengre.
MoreSplattyGlue,Mer sprutelim
MoreSplattyGlueDescription,Limsprut kan påvirke opptil 8 bloons per skudd.
AviationGradeGlue,Fly-klassifisert lim
AviationGradeGlueDescription,MOAB-lim sakker ned mer enn normalt.
CheaperSolution,Billigere løsning
CheaperSolutionDescription,Kostnad for bloon-væskeomgjører redusert med 1000.
BonusMonkey,Bonusape!
BonusMonkeyDescription,Hvert spill starter med 1 gratis Dart-ape! (Bare 1 gratis apetårn per spill)
MoreCash,Mer penger
MoreCashDescription,Øker startpenger med 200.
,
// Support,
FlatPackBuildings,Flatpakkebygninger
FlatPackBuildingsDescription,Gård og landsby koster 2% mindre og selges for 2% mer.
FarmSubsidy,Gårdstilskudd
FarmSubsidyDescription,Første Banangård i hvert spill koster 100 mindre.
MoreValuableBananas,Flere verdifulle bananer
MoreValuableBananasDescription,Verdifulle bananer-oppgradering øker med 30%.
VigilantSentries,Årvåkne vakter
VigilantSentriesDescription,Vakttårn varer lenger enn normalt.
OneMoreSpike,Én til spiker
OneMoreSpikeDescription,Spikerfabrikkstabling får +1 spiker.
GlobalAbilityCooldowns,Globale evnenedkjølinger
GlobalAbilityCooldownsDescription,Alle evnenedkjølinger for alle aper redusert med 3%.
EliteTutors,Eliteveiledere
EliteTutorsDescription,Generer ytterligere 15 XP per runde for din helt.
InsiderTrades,Innsidehandel
InsiderTradesDescription,Ape-business-rabatt øker med 2%.
BiggerBanks,Større banker
BiggerBanksDescription,Apebanker kan oppbevare 2500 ekstra penger.
BackroomDeals,Bakromsavtaler
BackroomDealsDescription,IMF-lån gir 1000$ mer og tilbakebetalingsraten er 40%.
ThickerFoams,Tykkere skum
ThickerFoamsDescription,Renseskum kan treffe 3 flere bloons før det utløper.
BigTraps,Store feller
BigTrapsDescription,Bloonfelle kan holde opp mot 30 flere RBE.
BetterSellDeals,Bedre salgsavtaler
BetterSellDealsDescription,Alle aper selges for 5% mer.
VeryShreddy,Masse-makulering
VeryShreddyDescription,MOAB-MAKULERERs spiker gjør +1 ekstra skade på bloons av MOAB-klasse
HiValueMines,Verdifulle miner
HiValueMinesDescription,Kostnad for spikrede miner redusert med 1500.
LongGraduation,Lang studietid
LongGraduationDescription,Akademi-studenter varer lenger.
InlandRevenueStreams,Innenlands inntektskilder
InlandRevenueStreamsDescription,Apebygdas pengebonus økt med 10%.
ToArms,Til KAMP!
ToArmsDescription,Kampinnkalling-varighet økt med 3 sekunder.
VeteranMonkeyTraining,Veteranapetrening
VeteranMonkeyTrainingDescription,Alle apers omladningstid reduseres med 3%.
MonkeyEducation,Apeutdannelse
MonkeyEducationDescription,All aper tjener XP 8% raskere.
,
// Military,
AdvancedLogistics,Avansert logistikk
AdvancedLogisticsDescription,Alle Militærapers basekostnader redusert med 5%.
GunCoolant,Pistolkjøler
GunCoolantDescription,Ape-ess angriper 10% raskere.
CeramicShock,Keramisk sjokk
CeramicShockDescription,Snikskyttertreff på keramiske bloons sakker dem ned en kort stund.
NavalUpgrades,Marine-oppgraderinger
NavalUpgradesDescription,Piratape og Ape-ubåt får +1 gjennomtrengning per skudd.
TradeAgreements,Handelsavtaler
TradeAgreementsDescription,Handelsmenn genererer +20$ per runde.
AirforceUpgrades,Luftstyrke-oppgraderinger
AirforceUpgradesDescription,Ape-ess og Helikopterpilot får +1 gjennomtrengning per skudd.
BroadBladeDartlings,Tykkskutte dartpistoler
BroadBladeDartlingsDescription,Skudd fra dartpistoler kan treffe bloons lettere.
BreakingBallistic,Bare ballistisk
BreakingBallisticDescription,Ballistiske missiler gjør mer skade på keramiske bloons.
AcceleratedAerodarts,Akselererte luftpiler
AcceleratedAerodartsDescription,Dartpiler fra Ape-ess flyr fortere.
RapidRazors,Raske barberblader
RapidRazorsDescription,Skarpe rotorer popper bloons raskere.
BudgetBattery,Økonomi-batteri
BudgetBatteryDescription,Kostnad for artilleribatteri redusert med 600.
PaintStripper,Malingsfjerner
PaintStripperDescription,Morter-knusende patroner fjerner forsterkningslaget på DDT-bloons.
CheaperMaiming,Billigere skadeskyting
CheaperMaimingDescription,Kostnad for MOAB-skadeskyter redusert med 1000.
ChargedChinooks,Ladet Chinook-vind
ChargedChinooksDescription,Chinook-aktiverte evner gir 25% mer liv og penger.
ExtraBurnyStuff,Ekstra brennstoff
ExtraBurnyStuffDescription,Brennstoff popper hvert sekund.
DartlingCoolant,Dartpistolkjøler
DartlingCoolantDescription,Dartpistol-angrepshastighet øker med 10%
MoreBuckshot,Mer haglskudd
MoreBuckshotDescription,Haglskudd skyter 5 prosjektiler.
BigBunch,Stor gruppe
BigBunchDescription,Drueskudd skyter 6 druer.
TargetedPineapples,Målbevisst ananas
TargetedPineapplesDescription,Ananas slippes kun i nærheten av baner.
EliteMilitaryTraining,Elite-militærtrening
EliteMilitaryTrainingDescription,Alle Militæraper får +1000xp én gang og tjener xp 5% raskere i spillet.
MasterDefender,Mesterforsvarer
MasterDefenderDescription,Eliteforsvarer har ingen nedkjøling.
BigBloonSabotage,Stor Bloon-sabotasje
BigBloonSabotageDescription,Alle bloons av MOAB-klasse fornyer seg i delvis skadet tilstand.
FasterTakedowns,Raskere nedslag
FasterTakedownsDescription,MOAB-nedslag-evnen har 5 sekunder raskere nedkjøling.
SubAdmiral,Ubåt-admiral
SubAdmiralDescription,Ubåt-kommandør påvirker alle ape-ubåter på skjermen.
MilitaryConscription,Militær verneplikt
MilitaryConscriptionDescription,Kjøpskostnad på første Militærape halveres i hvert spill.
AeronauticSubsidy,Aeronautisk støtte
AeronauticSubsidyDescription,Oppgraderinger av ape-ess til nivå 5 koster 10% mindre.
FocusedPlasma,Fokusert plasma
FocusedPlasmaDescription,Plasma-akselerator gjør skade raskere.
QuadBurst,Kvadrupelt
QuadBurstDescription,Gjør at trippelangrep deler seg inn i 4 i stedet for 3
,
// Heroes,
QuickHands,Raske hender
QuickHandsDescription,Gjør at alle helter angriper 4% raskere.
MoreSplody,Mer pang
MoreSplodyDescription,Helters eksplosiver får +2 gjennomtrengning per skudd.
HeroicReach,Heroisk rekkevidde
HeroicReachDescription,Alle helter får noe økt rekkevidde.
HeroicVelocity,Heroisk hastighet
HeroicVelocityDescription,Alle helters prosjektilfart øker noe.
SelfTaughtHeroes,Selvlærte helter
SelfTaughtHeroesDescription,Helter tjener XP 10% raskere.
HeroFavors,Heltetjenester
HeroFavorsDescription,Helters basekostnad redusert med 10%.
Scholarships,Stipend
ScholarshipsDescription,Kostnaden for heltetreningen med 10%.
AbilityDiscipline,Evnedisiplin
AbilityDisciplineDescription,Heltenivå 10 evnenedkjøling redusert med 10%.
EmpoweredHeroes,Mektige helter
EmpoweredHeroesDescription,Helter starter hvert spill på nivå 3.
AbilityMastery,Evnemestring
AbilityMasteryDescription,På nivå 20 reduseres helters evnenedkjøling på nivå 3 med 30%.
BigBloonBlueprints,Store bloon-blåkopier
BigBloonBlueprintsDescription,Helter gjør +1 ekstra skade på bloons av MOAB-klasse med sine baseangrep.
,
// Magic,
MagicTricks,Magiske triks
MagicTricksDescription,Guidet magi og Intens magi koster 25 mindre.
LingeringMagic,Langvarig magi
LingeringMagicDescription,"Prosjektiler får lengre levetid for Trollmann-aper, Super-aper, Ninja-aper og Druider."
SuperRange,SUPER rekkevidde
SuperRangeDescription,Økt rekkevidde for Super rekkevidde-oppgraderingen.
DiversionTactics,Avledningstaktikker
DiversionTacticsDescription,Økt sjanse for å distrahere bloons fra Distraksjons-oppgraderingen.
SpeedyBrewing,Rask brygging
SpeedyBrewingDescription,Alle Alkymist-brygg har 5% raskere omladningstid.
WarmOak,Varm eik
WarmOakDescription,Kostnad for Eikehjerte redusert med 100.
CheaperDoubles,Billigere dobling
CheaperDoublesDescription,Ninjas dobbeltskudd kostnad redusert med 100.
AcidStability,Syrestabilitet
AcidStabilityDescription,Alkymistens syrebasseng varer 5 sekunder lenger.
HotMagic,Het magi
HotMagicDescription,Alle magiske tårn kan poppe frosne bloons.
ArcaneImpale,Mystisk spidding
ArcaneImpaleDescription,Mystiske spikere gjør ekstra skade på bloons MOAB-klasse og keramiske bloons.
ColdFront,Kald front
ColdFrontDescription,Lynkule-treff fryser bloons etter å ha påført skade.
FlameJet,Flammejet
FlameJetDescription,Dragepust-flammeprosjektiler beveger seg mye raskere.
StrikeDownTheFalse,Slå ned de falske
StrikeDownTheFalseDescription,Sol-avatar kan poppe lilla bloons.
HeavyKnockback,Tungt tilbakeslag
HeavyKnockbackDescription,Bloons som treffes av tilbakeslag fra Superaper dyttes tilbake litt hardere.
StrongTonic,Sterkt tonikum
StrongTonicDescription,Forvandlingstonikum varer lenger.
MoMonkeyMoney,Mer apepenger
MoMonkeyMoneyDescription,Tjen 10% ekstra apepenger på seire i alle vanskelighetsgrader.
DeadlyTranquility,Dødelig stillhet
DeadlyTranquilityDescription,Bloonjitsu og Stormesterninja får en ekstra kastestjerne per kast.
ManaShield,Manaskjold
ManaShieldDescription,Skaper et spesialskjold som absorberer opp til 25 liv helt graits. Lades langsomt hver runde hvis ingen bloons lekker ut.
ThereCanBeOnlyOne,Det kan kun være én
ThereCanBeOnlyOneDescription,Det kan kun være én.
,
// Powers,
JustOneMore,Bare én til
JustOneMoreDescription,Veispiker-bunker har 21 spiker i seg.
LongerBoosts,Lengre økning
LongerBoostsDescription,Apeøkning varer lenger.
PreGamePrep,Spillforberedelser
PreGamePrepDescription,Start hvert spill med en bunke permanente veispikere på slutten av hver bane.
SupaGroFertilizer,Super-blomstring
SupaGroFertilizerDescription,Blomstring legger til 30% i stedet for 25%.
BudgetCashDrops,Økonomi-pengeslipp
BudgetCashDropsDescription,Pengeslipp koster 20 apepenger mindre.
LongerDartTime,Lengre Tidsstopp
LongerDartTimeDescription,Tidsstopp varer lenger enn normalt.
PowerfulMonkeyStorm,Kraftig apestorm
PowerfulMonkeyStormDescription,Superape-storm gjør mer skade.
FitFarmers,Sterke bønder
FitFarmersDescription,Apebønder har større radius
CheaperLakes,Billigere innsjøer
CheaperLakesDescription,Bærbar innsjø koster 40 apepenger
BudgetPontoons,Økonomi-pontong
BudgetPontoonsDescription,Pontong koster 40 apepenger
MaulingMoabMines,Maltrakterende MOAB-miner
MaulingMoabMinesDescription,MOAB-miner gjør ekstra stor skade
BiggerCamoTrap,Større kamuflasje-felle.
BiggerCamoTrapDescription,Kamuflasje-felle varer til 600 bloons.
SupersizeGlueTrap,Superstor limfelle.
SupersizeGlueTrapDescription,"Limfelle kan sakke ned bloons av MOAB-klasse, men jo større bloon, jo mer lim brukes det."
SupaThrive,Super-blomstring
SupaThriveDescription,Blomstring legger til 30% i stedet for 25%.
,
Monkey Knowledge,Apekunnskap
Unlock More Amazing Skills,Lås opp flere fantastiske evner
Choose a tower to get started,Velg et tårn for å komme i gang
Requires Points,Krever \n{0} poeng
Complete,Fullført
Needs,Behov
Assign+1,Tildel +1
NEW HERO!,NY HELT!
1 Monkey Knowledge Point!,1 apekunnskapspoeng!
Level Up!,Opp i nivå!
Max Level!,Maks nivå!
Set Round,Angi runde
Set Round Description,Still inn nåværende spillers runde. Husk at når du trykker på Spill vil det øke rundenummeret.
Buy Insta Monkeys,Kjøp Hurtigaper
,
Mode Clicks,CHIMPS
Mode DoubleMoabHealth,Dobbelt HP MOAB
Mode AlternateBloonsRounds,Vekslende bloon-runder.
Mode Impoppable,Popptastisk
Mode HalfStartingCash,Starter med halvert pengesum
Mode MagicOnly,Kun Magiske aper
Mode HalfCash,Halvert pengesum
,
Requires internet connection,Krever internettilkobling
Daily chest countdown,Kom tilbake om {0}t {1}m for å hente din neste belønning!
Daily challenge countdown,Kom tilbake om {0}t {1}m for neste utfordring
,
// Language,
Chinese Simplified,Forenklet kinesisk
Chinese Traditional,Tradisjonell kinesisk
Danish,Dansk
Dutch,Nederlandsk
English,Engelsk
French,Fransk
German,Tysk
Italian,Italiensk
Norwegian,Norsk
Portuguese,Portugisisk
Russian,Russisk
Spanish,Spansk
Swedish,Svensk
Turkish,Tyrkisk
Korean,Koreansk
Japanese,Japansk
Polish,Polsk
Monkelish,Apisk
,
Backup,Sikkerhetskopiering
Profile,Konto
Copyright,© Ninja Kiwi Versjon {0}
,
IAP Failed AppNotKnown,Kunne ikke kjøpe. Butikken rapporterer at appen er ukjent.
IAP Failed NoProductsAvailable,Kunne ikke kjøpe. Ingen produkter er tilgjengelige for kjøp.
IAP Failed PurchasingUnavailable,Kunne ikke kjøpe. Aktiver kjøp i app-innstillingen på enheten din for å fortsette.
NaturesWardTotem,Naurens Beskytter-totem
Natures Ward Totem,Naurens Beskytter-totem
Max Level Reached,Maks nivå oppnådd
Marine,Marin
,
Insta monkey roll,Hurtigape-rull
,
// Translated 19/2/2018,
Game Hints,Spillhint
Unavailable,Utilgjengelig
Auto Start,Automatisk start
Double Cash Mode,Dobbel pengemodus
Choose a monkey to unlock,Velg en ape å låse opp
Level up monkeys,{0} aper
Unlock,Lås opp
Upgrade Locked,Oppgradering låst
Pause,Sett på pause
Pause Difficulty,{0} vanskelighetsgrad
Military only,Kun militær
Activated Abilities,Aktiverte evner
Unlock at level,Lås opp på nivå {0}
Restore Purchases,Gjenopprett kjøp
,
// NEW TEXT TO TRANSLATE,
,
// First Time Triggers,
ft_regrowbloonstitle,Gjenvoksende bloons 
ft_regrowbloonsdescription,Gjenvoksende bloons! Disse søte hjerteformede bloonsene vokser tilbake tapte lag etter noen sekunder.
ft_camobloonstitle,Kamuflasje-\nbloons
