//Input. Needs to be first e.g [I] replaced by click or tap,
Click,คลิก
Heat-tipped Darts Description,ลูกดอกปลายร้อนทำให้ลิงเรือดำน้ำทำลายบลูนแช่แข็ง และบลูนตะกั่วได้
Airburst Darts Description,ลูกดอกแอร์เบิสต์แบ่งตัวออกเป็น 3 นัดเมื่อกระทบเป้าหมาย เพื่อพลังการเจาะมากขึ้น เสริมพลังสกิลปฏิกรณ์ลูกโป่งโทเนียมขึ้นไปอีก
Submerge and Support Description,"เพิ่มตัวเลือกการเล็งเป้าหมาย ""ดำน้ำ"" ทำให้เปิดเผยลูกโป่งลายพรางในรัศมีได้อย่างถาวร แต่จะไม่โจมตี"
Ballistic Missile Description,มิสไซล์ตามหาเป้าหมายภายในระยะ และทำดาเมจเพิ่มเติมกับลูกโป่ง MOAB และเซรามิก
Triple Guns Description,เพิ่มปืนกระบอกที่สามเพื่อให้ยิงเร็วขึ้นอีก
Bloontonium Reactor Description,ดำน้ำลงไปเพื่อตรวจจับลูกโป่งลายพราง ทำลายลูกโป่งและลดคูลดาวน์สกิลของทาวเวอร์แบบวางในน้ำที่อยู่ใกล้เคียงลง 15%
First Strike Capability Description,สกิลเปิดฉากยิงก่อน: ยิงมิสไซล์อันรุนแรงเล็งไปยังลูกโป่งขนาดใหญ่สุดบนจอ พร้อมทำดาเมจเป็นวงกว้าง
Armor Piercing Darts Description,ลูกดอกเจาะเกราะชนิดพิเศษทำดาเมจแรงขึ้นและมีพลังการเจาะมากขึ้น พร้อมทำดาเมจเพิ่มเติมกับลูกโป่งคลาส MOAB
Energizer Description,ลดคูลดาวน์สกิลทั้งหน้าจอลง 20% และถ้าหากอยู่ในรัศมี ฮีโร่จะได้รับ XP เร็วขึ้น 50% และคูลดาวน์สกิลของลิงแบบวางในน้ำจะลดลงครึ่งหนึ่ง
Pre-emptive Strike Description,โจมตีด้วยมิสไซล์อันทรงพลังโดยอัตโนมัติเมื่อใดก็ตามที่บลูนคลาส MOAB เกิดจากทางเข้าบลูน
Sub Commander Description,โจมตีศัตรูหลายตัวขึ้นและเพิ่มดาเมจให้แก่ผู้บัญชาการและเรือดำน้ำทั้งหมดในรัศมี
,
Buccaneer-Faster Shooting Description,อาวุธทั้งหมดบนเรือยิงเร็วขึ้น
Buccaneer-Grape Shot Description,เพิ่มปืนยิงองุ่นคมกริบ 5 ลูกไปที่เรือ
Buccaneer-Long Range Description,เพิ่มระยะไกลขึ้นมาก และกระสุนก็เคลื่อนที่เร็วขึ้น
Buccaneer-Double Shot Description,เพิ่มปริมาณอาวุธที่ยิงจากเรือเป็น 2 เท่า
Buccaneer-Hot Shot Description,กระสุนองุ่นร้อนระอุเจาะบลูนตะกั่วได้ และทำให้บลูนมีสถานะเผาไหม้
Buccaneer-Crow's Nest Description,ทำให้เรือโจมตีบลูนพรางตัวได้
Buccaneer-Destroyer Description,โจมตีเร็วมากจริงอะไรจริง!
Buccaneer-Cannon Ship Description,เพิ่มปืนใหญ่อันทรงพลังที่ยิงระเบิดอันรุนแรงออกมา
Buccaneer-Merchantman Description,สร้างเงินสดในแต่ละรอบโดยอัตโนมัติ
Buccaneer-Aircraft Carrier Description,ปล่อยฝูงเครื่องบินขับไล่ออกไป ยิงกราดเป้าหมายและยิงมิสไซล์ใส่บลูนคลาส MOAB
Buccaneer-Monkey Pirates Description,เพิ่มปืนใหญ่ 2 กระบอกให้กับเรือ และการโจมตีทำดาเมจแรงขึ้น สกิลเทคดาวน์ MOAB: ใช้ฉมวกตรึงบลูนคลาส MOAB และดึงมันให้ตกลงมา
Buccaneer-Favored Trades Description,โจมตีเร็วขึ้นและสร้างเงินจำนวนมากต่อรอบ ลิงในรัศมีมีมูลค่าการขายเพิ่มขึ้น
Buccaneer-Carrier Flagship Description,ทำดาเมจเพิ่มเติม สามารถวางลิงอื่นๆ ที่ดาดฟ้าเรือได้ และเพิ่มความเร็วโจมตีของลิงแบบวางในน้ำทั้งหมดและลิงเครื่องบิน
