//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klicka
Hint 26,"Ser du alla zebrarandiga Bloons? De kombinerar elakheten hos Vita Bloons och Svarta Bloons och innehåller en av varje, bara för nöjes skull."
Hint 32,Du såg en Kamo-Bloon tidigare på runda 24. Hoppas att du är redo för fler!
Hint 38,"Slutet av nästa runda har 2 återväxande Regnbågsbloons. Om de hanteras dåligt, kan 2 förvandlas till många fler..."
Hint 39,Din första MOAB-klass-Bloon nästa runda. Kom inte och säg att vi inte varnade dig!
Hint 41,På väg: Återväxande Regnbågsbloons och Kamo-Regnbågsbloons. Är du redo för detta?
Hint 45,Förstärkta Keramikbloons härnäst.
Hint 50,Massor av Kamo-Keramikbloons kan förstöra din dag. Bara så att du vet.
Hint 54,BTD6 är fantastiskt. Livet är också fantastiskt. Glöm inte att ta en paus då och då och göra något annat. Sedan kan du spela mer BTD6!
Hint 58,Kan du smälla bly? Kan du smälla Kamo? Vad sägs om... Kamo-Bly?
Hint 59,"Den sista rundan för medelsvår svårighetsgrad väntar. Gratulerar! Om du kan smälla en BFB-Bloon, det vill säga..."
Hint 62,"Om du spelade BTD5, kommer du att minnas hur det var på Runda 63: Om detta spel är nytt för dig, låt oss bara säga: många tätt packade Keramik-Bloons."
Hint 73,Nästa runda: Kamo-återväxande förstärkta Keramikbloons. Puh! Det är mer än en handfull.
Hint 77,Vad händer när du packar samman 75 Keramikbloons på ett litet utrymme? Det kommer du snart att få reda på!
Hint 79,"Den sista rundan för svår svårighetsgrad väntar. Sätt in allt du har mot en ZOMG-Bloon. Den är stor och långsam, men väldigt väldigt tuff."
Hint 89,"Undrar du vad en DDT-Bloon är? Precis som alla MOAB:er är det en korsning mellan en rosa, en kamo- och en blybloon. På alla dåliga sätt."
Hint 100,Gratulerar till att ha klarat av runda 100! Mycket nöje med din belöning!
,
//Alternate Round Messages [will comment out duplicates for now / warnings],
Alternate Hint 3,Alternativa Bloonrundor...
Alternate Hint 4,"Du vet att 'alternativ' egentligen bara betyder svårare, eller hur?"
Alternate Hint 5,Fick du panik när du såg Kamon?
Alternate Hint 7,Fortfarande max antal liv kvar?
Alternate Hint 8,"Hmm, jag undrar när det dyker upp bly?"
Alternate Hint 21,Det är vad vi kallar en runda med 'pengabrist'...
Alternate Hint 39,"Nästa runda, MOAB som vanligt. Eller är det?"
Alternate Hint 59,BFB nästa runda. Eller borde det vara FBFB?
Alternate Hint 77,Nästa runda är en riktigt svår en...
Alternate Hint 79,ZOMG det var tufft...
Alternate Hint 99,"Det var en riktig BADDARE, eller hur?"
Alternate Hint 100,Gratulerar till att ha klarat av runda 100! Mycket nöje med din belöning!
,
// iap ,
Max Level,Maxnivå
Processing,Behandlar
Purchased,Köpt
Purchase failed,Köpet misslyckades. Kontrollera din internetanslutning och inloggningen av enheten.
,
// Time,
days,dagar
day,dag
hours,timmar
hour,timme
minutes,minuter
minute,minut
seconds,sekunder
second,sekund
,
// Store: standard,
btd6_monkeymoney,Appengar
btd6_monkeymoney Description,En generös handfull Appengar.
btd6_pileomonkeymoney,Hög med Appengar
btd6_pileomonkeymoney Description,En jättehög med Appengar.
btd6_vaultomonkeymoney,Ett kassavalv med Appengar
btd6_vaultomonkeymoney Description,Ett helt valv fyllt till brädden med Appengar!
btd6_mountainomonkeymoney,Berg med Appengar
btd6_mountainomonkeymoney Description,Du behöver ett team med apsherpas för att nå toppen av detta majestätiska berg med Appengar.
btd6_towerxp,(5 000) Ap-XP
btd6_towerxp Description,Få {0} XP för ditt favoritaptorn nu!
btd6_fulltowerunlock,Fullständig Apupplåsning
btd6_fulltowerunlock Description,Lås upp alla uppgraderingar för ett aptorn omedelbart.
btd6_doublecashmode,Dubbelt Pengaläge
btd6_doublecashmode Description,Få dubbla pengar i spelet för evigt! Kan inaktiveras.
btd6_knowledgeunlocked,Kunskap upplåst
btd6_knowledgeunlocked Description,Lås upp apkunskapernas hemligheter! Gå omedelbart upp till nivå {0} och få även {1} bonuskunskapspoäng!
btd6_knowledgepoint,Kunskapspoäng
btd6_knowledgepoint Description,Bli visare på apornas vis med denna kunskapspoäng.
btd6_herobooster,Hjälteförstärkare
btd6_herobooster Description,Hjälten som har valts i ditt pågående spel blir nivå {0} till slutet av detta spel.
btd6_powersattackpack,Kraftattackpaket
btd6_powersattackpack Description,Ett urval med {0} stridsinriktade apkrafter.
btd6_instatowerspack,Direktappaket
btd6_instatowerspack Description,"5 aptorn, redo att placera ut helt gratis! Innehåller 2 nivå 1, 2 nivå 2 och 1 nivå 3"
btd6_tier3instatowerspack,Direktappaket nivå 3
btd6_tier3instatowerspack Description,"10 nivå 3-aptorn, redo att placera ut helt gratis!"
btd6_tier4instatowerspack,Direktappaket nivå 4
btd6_tier4instatowerspack Description,"10 nivå 4-aptorn, redo att placera ut helt gratis!"
btd6_needmoremonkeymoneyprompt,Ej tillräckligt med appengar! Köp mer?
,
,
// Store: Limited Time Packs,
btd6_knowledgepoints,{0} kunskapspoäng
btd6_knowledgepoints Description,Hämta {0} apkunskapspoäng omedelbart!
btd6_extraTowerxp,Extra torn-XP ({0})
btd6_extraTowerxp Description,Få {0} XP för ditt favorittorn nu!
btd6_extramonkeymoney,Extra appengar
btd6_extramonkeymoney Description,Specialerbjudande! {0} appengar till ett väldigt lågt pris.
btd6_powerspandamonium,Krafttumult
btd6_powerspandamonium Description,Med kombinerade krafter! {0} av de bästa apkrafterna du kan få i ett enda paket.
btd6_instatowersmegabooster,Apornas direktmegaeffekthöjare
btd6_instatowersmegabooster Description,"Deta megapaket innehåller 5 nivå 2-, 12 nivå 3- och 3 nivå 4-aptorn, som är redo att placera ut helt gratis!"
btd6_megamonkeycompendiumpack,Apornas megakompendiumpaket
btd6_megamonkeycompendiumpack Description,"Ett stort paket fullt av fantastiska godsaker! 25 000 appengar, 100 attackkrafter, 30 nivå 3-aptorn, 15 nivå 4-aptorn, 5 nivå 5-aptorn och upplåst kunskap (nivå 30, 5 bonus-AK-poäng)!"
btd6_tier5instatowerpack,Direktappaket nivå 5
btd6_tier5instatowerpack Description,"10 nivå 5-aptorn, redo att placera ut helt gratis!"
,
// Store: Sale packs,
btd6_pileomonkeymoney_sale,Hög med Appengar-utförsäljning
btd6_pileomonkeymoney_sale Description,En jättehög med Appengar.
btd6_vaultomonkeymoney_sale,Ett kassavalv med Appengar-utförsäljning
btd6_vaultomonkeymoney_sale Description,Ett helt valv fyllt till brädden med Appengar!
btd6_knowledgepoints_sale,{0} kunskapsutförsäljning
btd6_knowledgepoints_sale Description,Hämta {0} apkunskapspoäng omedelbart!
btd6_instatowersmegabooster_sale,Apornas direktmegaeffekthöjare-utförsäljning
btd6_instatowersmegabooster_sale Description,"Deta megapaket innehåller 5 nivå 2-, 12 nivå 3- och 3 nivå 4-aptorn, som är redo att placera ut helt gratis!"
btd6_tier3instatowerspack_sale,Direktappaket nivå 3-utförsäljning
btd6_tier3instatowerspack_sale Description,"10 nivå 3-aptorn, redo att placera ut helt gratis!"
btd6_tier4instatowerspack_sale,Direktappaket nivå 4-utförsäljning
btd6_tier4instatowerspack_sale Description,"10 nivå 4-aptorn, redo att placera ut helt gratis!"
,
Restore,Återställ
Today,Idag
DailyRewardDay,Dag {0}
Sale Ends In,Utförsäljningen avslutas om:  
Offer Ends In,Erbjudandet avslutas om:  
Promo Ends In,Kampanjen avslutas om:  
Loot.TowerXP.Title,{0} XP
Loot.Base.Description,x {0}
Loot.BaseAdd.Description,+ {0}
Loot.InstaRank.Description,Nivå {0}
Loot.DoubleCashMode.Title,Dubbelt Pengaläge
Loot.FullTowerUnlock.Title,{0} fullständig tornupplåsning
Loot.HeroBooster.Title,Hjälteförstärkare
Loot.InstaRankToLevel.Title,Omedelbar befordran till nivå {0}
Loot.PowerPacks.Title,Kraftpaket
Loot.KnowledgePoints.Title,Kunskapspoäng
Loot.MonkeyMoney.Title,Appengar
Loot.RandomInstaTower.Title,Slumpmässig direktapa
Loot.RandomAttackPower.Title,Slumpmässig attackkraft
Loot.RandomBestPower.Title,Slumpmässig bästa kraft
Loot.RandomInstaTowerTier.Title,Nivå {0} direktapa
,
ExistingData.Title,Existerande data hittade
ExistingData.Message,nivå {0}\nVill du behålla dessa data eller radera dem?
ExistingData.Clear,Radera
ExistingData.Keep,Behåll
,
Shop.Title,Butik
Shop.SubHeading,"Kom igen, skäm bort dig själv, du förtjänar det!"
Shop.Sale,Försäljning
Shop.Bonus,Bonus
Claimed,Hämtad
Map,Karta
Difficulty,Svårighetsgrad
Monkeys Available:,Tillgängliga apor:
Go,Kör!
Knowledge,Kunskap
Daily Reward,Daglig belöning
Settings,Inställningar
Language,Språk
Events,Händelser
Upgrades:,Uppgraderingar:
Ingame cost:,Kostnad i spelet:
Select,Välj
Path Closed,Väg stängd
Store unavailable,Butiken otillgänglig
,
// ------------- Monkey Knowledge,
// Primary,
IncreasedLifespan,Ökad livslängd
IncreasedLifespanDescription,"Längre projektillivslängd för Pilapor, Bombskyttar, Nubbskyttar och Klisterskyttar."
ExtraDartPops,Extra pilsmällningar
ExtraDartPopsDescription,Pilapor får +1 genomslag för alla skott.
CheapRangs,Billiga bumeranger
CheapRangsDescription,Grundkostnaden för bumerangkastaren minskas med 50.
FraggyFrags,Splittrande splitter
FraggyFragsDescription,Splitterbomber ger 2 extra splitter.
FastGlue,Snabbklister
FastGlueDescription,Klisterskytten får 10 % högre attackhastighet.
IcyChill,Iskyla
IcyChillDescription,Frysradie något utvidgad.
HardTacks,Hårda nubb
HardTacksDescription,Nubbskyttens nubb kan smälla frusna Bloons.
CrossbowReach,Armborsträckvidd
CrossbowReachDescription,Högre armborsträckvidd.
4And4,4 och 4
4And4Description,Pilapans trippelskott ger 4 pilar var 4:e skott.
ForceVsForce,Kraft mot kraft
ForceVsForceDescription,Vidundret ger +2 skada per skott mot MOAB-klass-Bloons.
MasterDoubleCross,Mästardubbelarmborst
MasterDoubleCrossDescription,Gör det möjligt för dig att ha TVÅ armborstmästare.
ExtraBounce,Extra studs
ExtraBounceDescription,Ökar bumerangrikoschetterna så att de studsar upp till 80 gånger.
LongTurbo,Lång turbo
LongTurboDescription,Turboladdningsförmågan för bumeranger varar i 15 sekunder.
HardPress,Hård press
HardPressDescription,MOAB-knuffning trycker tillbaka 30 % längre.
MegaMauler,Megamisshandlare
MegaMaulerDescription,MOAB-misshandlare ger mer skada per träff.
ViolentImpact,Våldsam träff
ViolentImpactDescription,Bombskyttarnas Bloonträff bedöver 25 % längre.
BudgetClusters,Budgetkluster
BudgetClustersDescription,Kostnaden för bombskyttens klusterbomber minskas med 100.
FastTackAttacks,Snabba nubbattacker
FastTackAttacksDescription,Nubbskyttens attackhastighet ökas med 8 %.
PoppyBlades,Smälliga blad
PoppyBladesDescription,Bladskyttsuppgraderingen får +2 genomslag.
BigInferno,Stort inferno
BigInfernoDescription,Infernalisk ringuppgraderingen ger +3 sprängradie.
SoCold,Så... Kallt...
SoColdDescription,Isapans permafrostuppgradering gör Bloons 60 % långsammare.
BigCryoBlast,Stor Kryoexplosion
BigCryoBlastDescription,Kryokanonen får större sprängradie.
Hypothermia,Hypotermi
HypothermiaDescription,Snöstorm fryser Bloons under längre tid.
MoreSplattyGlue,Mer stänkande klister
MoreSplattyGlueDescription,Klisterstänk kan påverka upp till 8 Bloons per skott.
AviationGradeGlue,Flygklassat klister
AviationGradeGlueDescription,MOAB-klister saktar ner mer än normalt.
CheaperSolution,Billigare lösning
CheaperSolutionDescription,Kostnaden för Bloonsmältare minskas med 1 000.
BonusMonkey,Bonusapa!
BonusMonkeyDescription,Börja varje spel med 1 gratis Pilapa!
MoreCash,Mer pengar
MoreCashDescription,Öka startkapitalet med 200.
,
// Support,
FlatPackBuildings,Bygg-det-själv-byggnader
FlatPackBuildingsDescription,Odling och By kostar 2 % mindre och säljer för 2 % mer.
FarmSubsidy,Odlingsbidrag
FarmSubsidyDescription,Den första bananodlingen varje spel kostar 100 mindre.
MoreValuableBananas,Fler värdefulla bananer
MoreValuableBananasDescription,Värdefulla bananer-uppgraderingen ökar till 30 %.
VigilantSentries,Vaksamma vaktkulsprutor
VigilantSentriesDescription,Vaktkulsprutorna räcker längre än normalt.
OneMoreSpike,En spik till
OneMoreSpikeDescription,Spikfabrikhögar får +1 spik.
GlobalAbilityCooldowns,Globala nedkylningar av förmågor
GlobalAbilityCooldownsDescription,All nedkylning av förmågor för alla apor minskas med 3 %.
EliteTutors,Elithandledare
EliteTutorsDescription,Genererar ytterligare +15 XP per runda för din Hjälte.
InsiderTrades,Insiderhandel
InsiderTradesDescription,Apaffärsrabatten ökar med 2 %.
BiggerBanks,Större banker
BiggerBanksDescription,Apbankerna får plats med 2 500 extra pengar.
BackroomDeals,Hemliga avtal
BackroomDealsDescription,IMF-lånet ökas till $ 12 000 och återbetalningsräntan är 40 %.
ThickerFoams,Tjockare skum
ThickerFoamsDescription,Rengöringsskummet kan träffa ytterligare 3 Bloons innan det upphör att verka.
BigTraps,Stora fällor
BigTrapsDescription,Bloonfällan kan få plats med upp till 30 fler RBE.
BetterSellDeals,Bättre försäljningsavtal
BetterSellDealsDescription,Alla apor säljs för 5 % högre pris.
VeryShreddy,Väldigt rivig
VeryShreddyDescription,MOAB SHREDR-spikar ger +1 extra skada på MOAB-klass-Bloons.
HiValueMines,Minor med högt värde
HiValueMinesDescription,Kostnaden för spikminor minskar med 1 500.
LongGraduation,Lång examen
LongGraduationDescription,Utexaminerade från akademin räcker längre.
InlandRevenueStreams,Inlandsinkomstkällor
InlandRevenueStreamsDescription,Apstadens pengabonus ökar med 10 %.
ToArms,Till VAPEN!
ToArmsDescription,Inkallning varar 3 sekunder längre.
VeteranMonkeyTraining,Veteranapträning
VeteranMonkeyTrainingDescription,Alla apors omladdningstid minskas med 3 %.
MonkeyEducation,Aputbildning
MonkeyEducationDescription,Alla apors XP-uppbyggnadstakt ökas med 8 %.
,
// Military,
AdvancedLogistics,Avancerad logistik
AdvancedLogisticsDescription,Alla militärapors grundkostnad minskas med 5 %.
GunCoolant,Kulsprutekylmedel
GunCoolantDescription,Appiloter attackerar 10 % snabbare.
CeramicShock,Keramikchock
CeramicShockDescription,Prickskytteträffar på Keramikbloons gör dem långsammare tillfälligt.
NavalUpgrades,Marina uppgraderingar
NavalUpgradesDescription,Appiraten och Apubåten får +1 genomslag per skott.
TradeAgreements,Handelsavtal
TradeAgreementsDescription,Handelsfartyget alstrar +$20 per runda.
AirforceUpgrades,Flygvapensuppgraderingar
AirforceUpgradesDescription,Appiloten och helipiloten får +1 genomslag per skott.
BroadBladeDartlings,Bredbladiga pilsprutepilar
BroadBladeDartlingsDescription,Skott från Pilsprutan kan träffa Bloons lättare.
BreakingBallistic,Genombrytande ballistik
BreakingBallisticDescription,Ballistiska missiler åsamkar mer skada på Keramikbloons.
AcceleratedAerodarts,Accelererade Luftpilar
AcceleratedAerodartsDescription,Pilar från Appiloter flyger snabbare.
RapidRazors,Snabba rakblad
RapidRazorsDescription,Rakbladsrotorblad smäller Bloons snabbare.
