//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klicken
Welcome Title Partial,Willkommen bei
Welcome Body,Einem epischen Abenteuer von Affen vs Bloons
Town Trouble Title,Willkommen bei Bloons™ Tower Defense 6
Town Trouble Body,Die Bloons haben deine Stadt übernommen!
Town Trouble Button,Hol sie dir zurück!
Bloon Entry,"Halte die Bloons davon ab, durchzukommen!"
Bloon Outro,"Und versuche, von hier zu verschwinden."
Place First Tower,Platziere zu Beginn einen Wurfpfeilaffen.
Place Second Tower,Platziere einen weiteren Wurfpfeilaffen und dann auf Spielen [I].
Press Go,Und jetzt auf LOS [I]!
Finished Round One,"Das war einfach, nicht wahr? Auf Spielen [I], um die nächste Runde zu starten."
Earning Experience,Das Platzenlassen von Bloons bringt deinen Affen Erfahrung.
Unlocking Upgrades,"Deine Wurfpfeilaffen haben genug, um ein Upgrade freizuschalten."
Upgrade Details,Jede Affen-Art hat 5 Upgrades in 3 Zweigen. Schalte jetzt einen davon frei.
Upgrade Complete,Großartig! Du kannst mit diesem Upgrade jetzt deine bestehenden Affen verbessern.
Select Monkey,"Du hast das Upgrade freigeschaltet, musst es aber immer noch auf die Affen im Spiel anwenden. Tippe jetzt auf einen Affen."
Select Upgrade,"Wähle jetzt das freigeschaltete Upgrade, um es zu kaufen und anzulegen."
Hero Title,Helden!
Quincy Intro,Brauchst du Hilfe?
Hero Info,"Quincy ist ein Affenheld, der sich im Spiel selbst verbessert. Er kann mit jedem Schuss mehrere Bloons platzen lassen."
Last Round,Noch eine Runde!
Next Map Title,Gute Arbeit!
Next Map Description,Sie sind auf der Flucht! Gehe nun zum Großen Baum rüber!
Next Map Button,Na los!
Big Tree Title,Großer Baum
Big Tree Description,Dieser Baum blockiert die Sicht deiner Affen. Du solltest sie also mit Sorgfalt platzieren. Manche Affen können über Hindernisse hinwegschießen.
Big Tree Victory Title,Ein letzter Schlag ...
Big Tree Victory Description,"Der Sieg ist in Sicht, rücke ins Stadtzentrum vor!"
Big Tree Victory Button,Na los!
Town Centre Title,Stadtmitte
Town Centre Description,Vernichte alle Bloons und rette deine Stadt.
Town Centre Victory Description,Wir haben‘s geschafft!
Home Description,Willkommen Zuhause
Xp Reminder Title,Nicht vergessen!
Xp Reminder Description,"Denk daran, deine Affen-XP-Punkte zum Freischalten weiterer Upgrades für deine Affen zu verwenden."
Lose Tutorial Title,Hoppla!
Lose Tutorial Description,"Du hast keine Leben mehr! Versuche es erneut. Versuche, mehr Affen neben der Strecke zu platzieren oder mehr Upgrades zu erhalten."
Select a Monkey,Affen wählen
Earning Experience Title,Upgrades werden freigeschaltet
Unlocking Upgrades Title,Upgrades werden freigeschaltet
Next,Weiter
,
//Loading Messages,
Loading Message 0,Hyroglyphen werden inspiziert …
Loading Message 1,Affen werden trainiert ...
Loading Message 2,Pfeile werden vorbereitet ...
Loading Message 3,Bloons werden aufgeblasen ...
Loading Message 4,Bananen werden gesammelt ...
Loading Message 5,Macht eine Pause ...
Loading Message 6,Pflegt den Garten ...
Loading Message 7,Lässt den Affen-Cthulhu los ...
Loading Message 8,Weckt den Sonnengott ...
Loading Message 9,Ruft Helden herbei ...
Loading Message 10,Neuen Inhalt herunterladen
Internet Connection Required Message,Zum Herunterladen von neuem Spielinhalt ist eine Internetverbindung erforderlich. Bitte die Verbindung prüfen. Wird erneut versucht …
,
// Achievements,
Achievement 1 Name,Unplatzbar
Achievement 1 Description,{0} Bloons platzen lassen
Achievement 2 Name,MOAB-Killer
Achievement 2 Description,{0} MOABs zerstören
Achievement 3 Name,BFB-Zänker
Achievement 3 Description,{0} BFBs zerstören
Achievement 4 Name,ZOMGinator
Achievement 4 Description,{0} ZOMGs zerstören
Achievement 5 Name,DDT-Jobber
Achievement 5 Description,{0} DDTs zerstören
Achievement 6 Name,Sappeur
Achievement 6 Description,{0} Wehrbloons oder Bloons der MOAB-Klasse zerstören. Verhindert Insta-Kills und Auflösen der Verstärkungen für beste Ergebnisse.
Achievement 7 Name,Erster Sieg
Achievement 7 Description,{0} Sieg auf einer Karte für Anfänger
Achievement 8 Name,Grashüpfer
Achievement 8 Description,Gewinne auf {0} verschiedenen Anfängerkarten
Achievement 9 Name,Nächste Stufe
Achievement 9 Description,In {0} Spielen auf der Karte für Zwischenstüfler gewinnen
Achievement 10 Name,Akolyt
Achievement 10 Description,In {0} Spielen auf verschiedenen Karten für Zwischenstüfler gewinnen
Achievement 11 Name,Fortgeschrittener Spieler
Achievement 11 Description,In {0} Spielen auf der Karte für Fortgeschrittene gewinnen
Achievement 12 Name,Extremspieler
Achievement 12 Description,In {0} Spielen auf der Karte für Extremspieler gewinnen
Achievement 13 Name,Großaffe
Achievement 13 Description,Affenturm der Stufe 4 einsetzen
Achievement 14 Name,Megaaffe
Achievement 14 Description,Affenturm der Stufe 5 einsetzen
Achievement 15 Name,Heldenzeit
Achievement 15 Description,Held auf einer Nicht-Tutorial-Karte einsetzen
Achievement 16 Name,Heldenkräfte aktivieren
Achievement 16 Description,Heldenfähigkeit auf Stufe 3 verwenden
Achievement 17 Name,Größer und böser
Achievement 17 Description,Heldenfähigkeit auf Stufe 10 verwenden
Achievement 18 Name,Epischer Held
Achievement 18 Description,Beliebigen Helden auf Stufe {0} verbessern
Achievement 19 Name,Affenrächer-Liga
Achievement 19 Description,Ein Spiel mit {0} verschiedenen Helden gewinnen
Achievement 20 Name,Du hast die Power
Achievement 20 Description,Kräfte zum ersten Mal verwenden
Achievement 21 Name,Power-User
Achievement 21 Description,Kräfte {0}-mal verwenden
Achievement 22 Name,Empowered
Achievement 22 Description,Kräfte {0}-mal verwenden
Achievement 23 Name,Student
Achievement 23 Description,Den ersten Affenwissenspunkt erhalten
Achievement 24 Name,Gelehrter
Achievement 24 Description,{0} Affenwissenspunkte erhalten
Achievement 25 Name,Dr. Affe
Achievement 25 Description,Gib 106 Affenwissenspunkte aus
Achievement 26 Name,Erste Affen zuerst
Achievement 26 Description,{0} Spiele nur mit Primäraffen gewinnen
Achievement 27 Name,Kriegsaffen
Achievement 27 Description,{0} Spiele nur mit Militäraffen gewinnen
Achievement 28 Name,Abrakadaffe
Achievement 28 Description,{0} Spiele nur mit Zauberaffen gewinnen
Achievement 29 Name,Unbesungene Affen
Achievement 29 Description,{0} Spiele nur mit Unterstützeraffen gewinnen
Achievement 30 Name,Aufgeblasen
Achievement 30 Description,Runde {0} im Modus Luftablassen gewinnen
Achievement 31 Name,Überlebender
Achievement 31 Description,Runde {0} im Modus Aplatzolypse gewinnen
Achievement 32 Name,Indie
Achievement 32 Description,{0} Spiele mit alternativen Bloonrunden gewinnen
Achievement 33 Name,Platzbar
Achievement 33 Description,{0} Spiele im Schwierigkeitsgrad Unplatzbar gewinnen
Achievement 34 Name,Geizig
Achievement 34 Description,Gewinne {0} Spiele im Halbes Geld-Modus
Achievement 35 Name,Bloonzilla!
Achievement 35 Description,{0} Spiele gegen MOABs mit doppelten TP gewinnen
Achievement 36 Name,Rollenumwandler
Achievement 36 Description,Ein Spiel im Modus Rückwärts gewinnen
Achievement 37 Name,Medaillengewinner
Achievement 37 Description,Alle Medaillen für eine Karte erhalten
Achievement 38 Name,Dekorierter Held
Achievement 38 Description,Erhalte 36 Schwierigkeitsmedaillen in Karten für Anfänger.
Achievement 39 Name,Rot und Blau ergibt ...
Achievement 39 Description,{0} Violette Bloons platzen lassen
Achievement 40 Name,Infrarot
Achievement 40 Description,{0} Tarn-Bloons platzen lassen
Achievement 41 Name,Kombikräfte
Achievement 41 Description,Sammele mindestens 12 verschiedene Kräfte
Achievement 42 Name,Herausforderer
Achievement 42 Description,{0} tägliche Herausforderung gewinnen
Achievement 43 Name,Herausforderungslehrling
Achievement 43 Description,{0} tägliche Herausforderungen gewinnen
Achievement 44 Name,Herausforderungsmeister
Achievement 44 Description,{0} tägliche Herausforderungen gewinnen
Achievement 45 Name,Perfekte Woche
Achievement 45 Description,Alle Tagesherausforderungen in einer Woche erfüllen
Achievement 46 Name,Kluger Primat
Achievement 46 Description,Sämtliches Affenwissen eines Zweiges freischalten
Achievement 47 Name,Bloonmeister
Achievement 47 Description,Gewinne {0} Karte im SCHIMPANSEN-Modus.
Achievement 48 Name,Überlegener Bloonmeister
Achievement 48 Description,Gewinne {0} Karten im SCHIMPANSEN-Modus.
Achievement 49 Name,Ultimativer Bloonmeister
Achievement 49 Description,Gewinne {0} Karten im SCHIMPANSEN-Modus.
Achievement 50 Name,Super-BAD
Achievement 50 Description,{0} BADs zerstören
Collect,Sammeln
,
//Standard Round Messages,
,
,
Hint 2,Für jede geplatzte Schicht Bloons erhältst du 1 $. Außerdem gibt es zum Ende jeder Runde einen Bonus.
Hint 7,"Spiele häufig Bloons TD 6 und achte auf neue Updates – Karten, Helden, Herausforderungen und andere Überraschungen."
Hint 12,"Je mehr du einen bestimmten Turm einsetzt, umso mehr Upgrades kannst du für ihn freischalten."
Hint 26,Siehst du diese Bloons mit Zebrastreifen? Bei ihnen ist die Gemeinheit von Weißen und Schwarzen Bloons kombiniert. Sie enthalten je einen davon nur zum Spaß.
Hint 32,Du hast bereits in Runde 24 einen Tarn-Bloon gesehen. Hoffentlich bist du bereit für mehr davon!
Hint 38,"Am Ende der nächsten Runde gibt es zwei runderneuerte Regenbogen-Bloons. Wenn du nicht richtig damit umgehst, könnten sie sich in viel mehr davon verwandeln ..."
Hint 39,"Erster Bloon der MOAB-Klasse in der nächsten Runde. Sag bloß nicht, dass wir dich nicht gewarnt hätten!"
Hint 41,In Kürze: Runderneuerte Regenbogen-Bloons und Tarn-Regenbogen-Bloons. Bist du bereit dafür?
Hint 45,Wehr-Keramik-Bloons kommen dann als nächstes.
Hint 50,"Eine Menge Tarn-Keramik-Bloons könnten dir deinen Tag vermiesen. Nur, um es erwähnt zu haben."
Hint 54,"BTD6 ist irre. Das Leben ist auch irre. Vergiss nicht, manchmal eine Pause zu machen und etwas anderes zu tun. Du kannst dann mehr BTD6 spielen!"
Hint 58,Kannst du Blei-Bloons platzen lassen? Kannst du Tarn-Bloons platzen lassen? Was hältst du von ... Tarn- und Blei-Bloons?
Hint 59,Gleich kommt die letzte Runde im Schwierigkeitsgrad Mittelschwer. Glückwunsch! Wenn du den BFB-Bloon platzen lassen kannst ...
Hint 62,"Falls du BTD5 gespielt hast, erinnerst du dich bestimmt noch an Runde 63. Falls du neu im Spiel bist, dann lass es mich so erklären: viele eng zusammengepackte Keramik-Bloons."
Hint 73,Nächste Runde: Runderneuerte Tarn-Wehr-Keramik-Bloons. Puh! Ist das kompliziert.
Hint 77,"Was passiert, wenn man 75 Keramik-Bloons in einen engen Raum stopft? Du wirst es gleich rausfinden!"
Hint 79,"Gleich kommt die letzte Runde im Schwierigkeitsgrad Schwer. Wirf dem ZOMG-Bloon alles entgegen, was du hast. Er ist groß und langsam, aber auch verdammt hart."
Hint 89,"Du willst wissen, was ein DDT-Bloon ist? Eine Kreuzung aus Rosa, Tarn- und Blei-Bloon wie ein MOAB. Und zwar mit allen schlechten Eigenschaften."
Hint 100,Glückwunsch zur Runde 100! Viel Spaß mit deiner Belohnung!
,
//Alternate Round Messages [will comment out duplicates for now / warnings],
Alternate Hint 3,Es gibt alternative Bloonrunden ...
Alternate Hint 4,"Dir ist klar, dass „alternativ“ hierbei einfach nur schwerer bedeutet, oder?"
Alternate Hint 5,Hattest du beim Anblick des Tarn-Bloons schon Panik?
Alternate Hint 7,Und du hast immer noch alle Leben?
Alternate Hint 8,"Dann bin ich ja schon gespannt, was du beim ersten Anblick eines Blei-Bloons sagst ..."
Alternate Hint 21,Das nennen wir hier eine „Geldlose Runde“ ...
Alternate Hint 39,In der nächsten Runde MOABs wie immer. Oder so?
Alternate Hint 59,BFB nächste Runde. Oder vielleicht doch eher FBFB?
Alternate Hint 77,Die nächste Runde kommt ein echter Stinker ...
Alternate Hint 79,"ZOMG, um genau zu sein ..."
Alternate Hint 99,"Nicht so BAD, oder?"
Alternate Hint 100,Glückwunsch zur Runde 100! Viel Spaß mit deiner Belohnung!
,
// iap ,
Max Level,Max. Stufe
Processing,Wird verarbeitet ...
Purchased,Gekauft
Purchase failed,Einkauf fehlgeschlagen. Prüfe bitte deine Internetverbindung und deine Geräteanmeldung
,
// Time,
days,Tage
day,Tag
hours,Stunden
hour,Stunde
minutes,Minuten
minute,Minute
seconds,Sekunden
second,Sekunde
,
// Store: standard,
btd6_monkeymoney,Affengeld
btd6_monkeymoney Description,Eine ordentliche Handvoll Affengeld.
btd6_pileomonkeymoney,Ein Haufen Affengeld
btd6_pileomonkeymoney Description,Ein großer Haufen Affengeld.
btd6_vaultomonkeymoney,Tresor voller Affengeld
btd6_vaultomonkeymoney Description,Ein kompletter Tresor randvoll mit Affengeld!
btd6_mountainomonkeymoney,Berg Affengeld
btd6_mountainomonkeymoney Description,"Du brauchst ein Team Affensherpas, um den Gipfel dieses irren Bergs Affen zu erklimmen."
btd6_towerxp,(5000) Affen-XP
btd6_towerxp Description,Hol dir jetzt {0} XP für deinen Lieblingsaffenturm!
btd6_fulltowerunlock,Volle Affenfreischaltung
btd6_fulltowerunlock Description,Schaltet sofort alle Upgrades für einen Affenturm frei.
btd6_doublecashmode,Geldverdopplungs-Modus
btd6_doublecashmode Description,Hol dir für immer doppeltes Geld im Spiel! Kann deaktiviert werden.
btd6_knowledgeunlocked,Wissen freigeschaltet
btd6_knowledgeunlocked Description,Schalte die Geheimnisse des Affenwissens frei! Du wirst sofort auf Rang {0} befördert und erhältst außerdem {1} Bonus-Wissenspunkte!
btd6_knowledgepoint,Wissenspunkt
btd6_knowledgepoint Description,Werde mit diesem Wissenspunkt nach Art der Affen weiser.
btd6_herobooster,Helden-Boost
btd6_herobooster Description,Der in deinem aktuellen Spiel gewählte Held wird bis zum Ende des Spiels auf Stufe {0} befördert.
btd6_powersattackpack,Kräfte-Angriffspaket
btd6_powersattackpack Description,Eine Auswahl von {0} kampfbezogenen Affenkräften.
btd6_instatowerspack,Insta-Affenpaket
btd6_instatowerspack Description,"5 Affentürme, bereit zum Platzieren, ohne Geld zu kosten! Enthält 2 auf Stufe 1, 2 auf Stufe 2 und 1 auf Stufe 3."
btd6_tier3instatowerspack,Stufe-3-Insta-Affenpaket
btd6_tier3instatowerspack Description,"10 Affentürme auf Stufe 3, bereit zum Platzieren, ohne Geld zu kosten!"
btd6_tier4instatowerspack,Stufe-4-Insta-Affenpaket
btd6_tier4instatowerspack Description,"10 Affentürme auf Stufe 4, bereit zum Platzieren, ohne Geld zu kosten!"
btd6_needmoremonkeymoneyprompt,Nicht genug Affengeld! Mehr kaufen?
,
,
// Store: Limited Time Packs,
btd6_knowledgepoints,{0} Wissenspunkte
btd6_knowledgepoints Description,Hol dir sofort {0} Affen-Wissenspunkte.
btd6_extraTowerxp,Extra-Turm-XP ({0})
btd6_extraTowerxp Description,Hol dir jetzt {0} XP für deinen Lieblingsturm!
btd6_extramonkeymoney,Extra-Affengeld
btd6_extramonkeymoney Description,Sonderangebot! {0} Affengeld zu einem äußerst niedrigen Preis.
btd6_powerspandamonium,Kräfte-Pandamonium
btd6_powerspandamonium Description,"Mit unseren kombinierten Kräften! {0} der besten Affenkräfte, die man bekommen kann, in einem Paket."
btd6_instatowersmegabooster,Insta-Affen-Mega-Boost
btd6_instatowersmegabooster Description,"Dieses Megapaket enthält 5 Insta-Affentürme auf Stufe 2, 12 auf Stufe 3 und 3 auf Stufe 4, bereit zum Platzieren, ohne Geld zu kosten!"
btd6_megamonkeycompendiumpack,Mega-Affen-Kompendium-Paket
btd6_megamonkeycompendiumpack Description,"Ein riesiges Paket voll fantastischer Goodies! Schaltet 25.000 Affengeld, 100 Angriffskräfte, 30 Insta-Affentürme auf Stufe 3, 15 Insta-Affentürme auf Stufe 4, 5 Insta-Affentürme auf Stufe 5 und Wissen frei (Rang 30, 5 Bonus-Affenwissenspunkte)!"
btd6_tier5instatowerpack,Stufe 5 Insta-Affenpaket
btd6_tier5instatowerpack Description,"10 Affentürme auf Stufe 5, bereit zum Platzieren, ohne Geld zu kosten!"
,
// Store: Sale packs,
btd6_pileomonkeymoney_sale,Angebot – ein Haufen Affengeld
btd6_pileomonkeymoney_sale Description,Ein großer Haufen Affengeld.
btd6_vaultomonkeymoney_sale,Angebot – ein Tresor Affengeld
btd6_vaultomonkeymoney_sale Description,Ein kompletter Tresor randvoll mit Affengeld!
btd6_knowledgepoints_sale,{0}-Wissenspunkte-Angebot
btd6_knowledgepoints_sale Description,Hol dir sofort {0} Affen-Wissenspunkte.
btd6_instatowersmegabooster_sale,Insta-Affen-Mega-Boost-Angebot
btd6_instatowersmegabooster_sale Description,"Dieses Megapaket enthält 5 Insta-Affentürme auf Stufe 2, 12 auf Stufe 3 und 3 auf Stufe 4, bereit zum Platzieren, ohne Geld zu kosten!"
btd6_tier3instatowerspack_sale,Stufe-3-Insta-Affenpaket-Angebot
btd6_tier3instatowerspack_sale Description,"10 Affentürme auf Stufe 3, bereit zum Platzieren, ohne Geld zu kosten!"
btd6_tier4instatowerspack_sale,Stufe-4-Insta-Affenpaket-Angebot
