//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Haz clic en
Place Second Tower,Coloca otro mono dardero y [I] Jugar.
Press Go,¡Ahora [I] ADELANTE!
Finished Round One,"Fácil, ¿no? [I] Jugar para empezar la ronda siguiente."
Earning Experience,Los monos ganan experiencia por reventar bloons.
Unlocking Upgrades,Los monos darderos tienen suficiente para desbloquear una mejora.
Upgrade Details,Cada tipo de mono tiene 5 mejoras en 3 ramas. Desbloquea una de ellas ahora.
Upgrade Complete,¡Muy bien! Ahora puedes mejorar a los monos que ya tienes con esa mejora.
Select Monkey,"Desbloqueaste la mejora, pero tienes que aplicársela a los monos en el juego. Toca uno ahora."
Select Upgrade,Ahora elige la mejora desbloqueada para comprarla y equiparla.
Hero Title,¡Héroes!
Quincy Intro,¿Necesitas ayuda?
Hero Info,Quincy es un héroe mono que se mejora a sí mismo durante el juego. Puede reventar varios bloons por disparo.
Last Round,¡Una ronda más!
Next Map Title,¡Buen trabajo!
Next Map Description,Mira cómo huyen. Ahora ve al árbol grande.
Next Map Button,Vamos
Big Tree Title,Árbol grande
Big Tree Description,"Este árbol bloquea la visión de los monos, así que ubícalos con cuidado. Algunos pueden disparar por encima de los obstáculos."
Big Tree Victory Title,Un último esfuerzo...
Big Tree Victory Description,"La victoria está cerca, avanza al centro del pueblo."
Big Tree Victory Button,Vamos
Town Centre Title,Centro del pueblo
Town Centre Description,Destruye a todos los bloons y salva al pueblo.
Town Centre Victory Description,¡Lo logramos!
Home Description,Bienvenido a casa
Xp Reminder Title,¡No lo olvides!
Xp Reminder Description,Recuerda gastar los puntos de PE moneril y desbloquear más mejoras para los Monos.
Lose Tutorial Title,¡Uy!
Lose Tutorial Description,¡Se te acabaron las vidas! Vuelve a intentarlo. Trata de colocar más monos cerca del camino u obtener más mejoras.
Select a Monkey,Seleccionar un mono
Earning Experience Title,Desbloqueando mejoras
Unlocking Upgrades Title,Desbloqueando mejoras
Next,Siguiente
,
//Loading Messages,
Loading Message 0,Inspeccionando jeroglíficos...
Loading Message 1,Entrenando monos...
Loading Message 2,Preparando dardos...
Loading Message 3,Inflando bloons...
Loading Message 4,Juntando bananas...
Loading Message 5,Tomando un descanso...
Loading Message 6,Podando los jardines...
Loading Message 7,Liberando al mono Cthulhu...
Loading Message 8,Despertando al dios del sol...
Loading Message 9,Invocando héroes...
Loading Message 10,Descargando contenido nuevo
Internet Connection Required Message,Se requiere conexión a internet para descargar el contenido nuevo. Comprueba la conexión. Reintentando...
,
// Achievements,
Achievement 1 Name,Imposibloon
Achievement 1 Description,Revienta {0} bloons
Achievement 2 Name,Asesino de MOAB
Achievement 2 Description,Destruye {0} MOAB
Achievement 3 Name,Luchador contra BFB
Achievement 3 Description,Destruye {0} BFB
Achievement 4 Name,Exterminador de ZOMG
Achievement 4 Description,Destruye {0} ZOMG
Achievement 5 Name,"DDT, te maté"
Achievement 5 Description,Destruye {0} DDT
Achievement 6 Name,Zapador
Achievement 6 Description,Revienta {0} bloons Fortificados o clase MOAB. Evita las muertes instantáneas y la quita de fortificados.
Achievement 7 Name,Primera victoria
Achievement 7 Description,Gana en {0} mapa de principiante que no sea del tutorial
Achievement 8 Name,Saltamontes
Achievement 8 Description,Gana en {0} mapas de Principiante diferentes
Achievement 9 Name,Nivel siguiente
Achievement 9 Description,Gana {0} partida en un mapa intermedio
Achievement 10 Name,Acólito
Achievement 10 Description,Gana en {0} mapas intermedios diferentes
Achievement 11 Name,Jugador avanzado
Achievement 11 Description,Gana {0} partida en un mapa avanzado
Achievement 12 Name,Jugador extremo
Achievement 12 Description,Gana {0} partida en un mapa extremo
Achievement 13 Name,Mono grande
Achievement 13 Description,Usa una torre de monos de grado 4
Achievement 14 Name,Megamono
Achievement 14 Description,Usa una torre de monos de grado 5
Achievement 15 Name,Momento heroico
Achievement 15 Description,Despliega un héroe en un mapa que no sea del tutorial
Achievement 16 Name,Poderes heroicos activados
Achievement 16 Description,Usa una habilidad de héroe de nivel 3
Achievement 17 Name,"Más grande, más malo"
Achievement 17 Description,Usa una habilidad de héroe de nivel 10
Achievement 18 Name,Héroe épico
Achievement 18 Description,Haz que cualquier héroe alcance el nivel {0}
Achievement 19 Name,La Liga de los Monos Vengadores
Achievement 19 Description,Gana una partida con {0} héroes diferentes
Achievement 20 Name,Ya tienes el poder
Achievement 20 Description,Usa poderes por primera vez
Achievement 21 Name,Poderoso
Achievement 21 Description,Usa poderes {0} veces
Achievement 22 Name,Empoderado
Achievement 22 Description,Usa poderes {0} veces
Achievement 23 Name,Estudiante
Achievement 23 Description,Aplica tu primer punto de conocimiento moneril
Achievement 24 Name,Catedrático
Achievement 24 Description,Aplica {0} puntos de conocimiento moneril
Achievement 25 Name,Dr. Mono
Achievement 25 Description,Gasta 106 puntos de conocimiento moneril.
Achievement 26 Name,Primero los primeros
Achievement 26 Description,Gana {0} partidas usando solo monos primarios
Achievement 27 Name,Monos de guerra
Achievement 27 Description,Gana {0} partidas usando solo monos militares
Achievement 28 Name,Monocadabra
Achievement 28 Description,Gana {0} partidas usando solo monos magos
Achievement 29 Name,Monos no reconocidos
Achievement 29 Description,Gana {0} partidas usando solo monos de refuerzo
Achievement 30 Name,Inflado
Achievement 30 Description,Gana la ronda {0} en modo deflación
Achievement 31 Name,Superviviente
Achievement 31 Description,Gana la ronda {0} en modo aglobolipsis
Achievement 32 Name,Indie
Achievement 32 Description,Gana {0} partidas con rondas de bloons alternados
Achievement 33 Name,Posibloon
Achievement 33 Description,Gana {0} partidas en dificultad imposibloon
Achievement 34 Name,Ahorrativo
Achievement 34 Description,Gana {0} partidas en el modo Mitad de Dinero
Achievement 35 Name,¡Bloonzilla!
Achievement 35 Description,Gana {0} partidas contra MOAB de doble PV
Achievement 36 Name,Marcha atrás
Achievement 36 Description,Gana una partida en el modo reversa
Achievement 37 Name,Ganador de medallas
Achievement 37 Description,Gana todas las medallas de un mapa
Achievement 38 Name,Héroe decorado
Achievement 38 Description,Obtén 36 medallas de dificultad en mapas de principiante
Achievement 39 Name,"Si mezclas rojo y azul, obtienes..."
Achievement 39 Description,Revienta {0} bloons morados
Achievement 40 Name,Infrarrojos
Achievement 40 Description,Revienta {0} camufloons
Achievement 41 Name,Nuestros poderes combinados
Achievement 41 Description,Junta al menos 12 poderes diferentes.
Achievement 42 Name,Retador
Achievement 42 Description,Gana {0} desafío diario
Achievement 43 Name,Aprendiz de desafíos
Achievement 43 Description,Gana {0} desafíos diarios
Achievement 44 Name,Amo de los desafíos
Achievement 44 Description,Gana {0} desafíos diarios
Achievement 45 Name,Semana perfecta
Achievement 45 Description,Supera todos los desafíos diarios en una semana
Achievement 46 Name,Primate conocedor
Achievement 46 Description,Desbloquea todo el conocimiento moneril en una rama
Achievement 47 Name,Amo de los bloons
Achievement 47 Description,Gana {0} mapas en modo CHIMPS
Achievement 48 Name,Amo de los bloons superior
Achievement 48 Description,Gana {0} mapas en modo CHIMPS
Achievement 49 Name,Amo de los bloons definitivo
Achievement 49 Description,Gana {0} mapas en modo CHIMPS
Achievement 50 Name,SuperBAD
Achievement 50 Description,Destruye {0} BAD
Collect,Junta
,
//Standard Round Messages,
,
,
Hint 2,Recibes 1 mónar por cada capa de bloon reventada más una bonificación al final de cada ronda.
Hint 7,"No dejes de jugar a Bloons TD 6 con regularidad y no te pierdas las nuevas actualizaciones: mapas, héroes, desafíos y otras maravillas."
Hint 12,"Cuanto más uses una torre, más mejoras suyas desbloquearás."
Hint 26,¿Ves esos bloons con rayas de cebra? Combinan lo peor de los bloons blancos y los bloons negros y contienen uno de cada uno.
Hint 32,Ya viste al camufloon en la ronda 24. Prepárate porque vienen más.
Hint 38,"El final de cada ronda tiene 2 bloons arcoíris regenerativos. Si no lo resuelves bien, 2 se pueden convertir en muchos más."
Hint 39,En la próxima ronda llega el primer Bloon clase MOAB. ¡No digas que no te lo advertimos!
Hint 41,A continuación: bloons arcoíris regenerativos y bloons arcoíris camuflados. ¿Tienes todo listo para eso?
Hint 45,A continuación vienen bloons cerámicos fortificados.
Hint 50,Muchos bloons cerámicos camuflados te pueden arruinar el día. Es una advertencia.
Hint 54,BTD6 es buenísimo. La vida es buenísima también. No olvides tomarte un descanso cada tanto y hacer otra cosa. Luego vuelve a jugar a BTD6 otra vez.
Hint 58,¿Puedes reventar plomo? ¿Puedes reventar camuflaje? ¿Y qué me dices del plomo camuflado?
Hint 59,A continuación sigue la ronda final de la dificultad intermedia. ¡Felicitaciones! Aunque primero tienes que reventar al bloon BFB.
Hint 62,"Si jugaste BTD5, recordarás la Ronda 63. Si eres nuevo en este juego, hay algo que debes saber: todo se llenará de bloons cerámicos."
Hint 73,Próxima ronda: a continuación vienen bloons cerámicos fortificados regenerativos camuflados. ¡Fiu! Qué difícil de decir.
Hint 77,¿Qué pasa cuando metes 75 bloons cerámicos en un espacio reducido? ¡Estás por enterarte!
Hint 79,"A continuación, llega la ronda final de la dificultad difícil. Tírale con todo lo que tienes al bloon ZOMG. Es grande y lento pero muy, muy resistente."
Hint 89,"¿Qué es un bloon DDT, preguntas? Es como un MOAB combinado con un bloon rosa, uno camuflado y uno emplomado. En el peor de los sentidos."
Hint 100,Felicitaciones por superar la ronda 100. Disfruta la recompensa.
,
//Alternate Round Messages [will comment out duplicates for now / warnings],
Alternate Hint 3,Rondas de bloons alternados...
Alternate Hint 4,"Ya sabrás que con alternados queremos decir más difíciles, ¿no?"
Alternate Hint 5,¿Entraste en pánico cuando viste al camufloon?
Alternate Hint 7,¿Sigues con el máximo de vidas?
Alternate Hint 8,"Mmm, me pregunto cuándo aparecerá el primer bloon emplomado..."
Alternate Hint 21,A eso le llamamos una ronda pobre...
Alternate Hint 39,"La próxima ronda, MOAB, como siempre. ¿O no?"
Alternate Hint 59,BFB en la próxima ronda. ¿O debería ser FBFB?
Alternate Hint 77,La próxima ronda es un fastidio...
Alternate Hint 79,Ese ZOMG fue muy difícil.
Alternate Hint 99,"BAD significa malo, ¿no?"
Alternate Hint 100,Felicitaciones por superar la ronda 100. Disfruta la recompensa.
,
// iap ,
Max Level,Nivel máx.
Processing,Procesando
Purchased,Comprado
Purchase failed,Compra fallida. Verifica la conexión a internet y el inicio de sesión en el dispositivo.
,
// Time,
days,días
day,día
hours,horas
hour,hora
minutes,minutos
minute,minuto
seconds,segundos
second,segundo
,
// Store: standard,
btd6_monkeymoney,Mónares
btd6_monkeymoney Description,Una buena cantidad de mónares.
btd6_pileomonkeymoney,Pila de mónares
btd6_pileomonkeymoney Description,Una gran pila de mónares.
btd6_vaultomonkeymoney,Bóveda de mónares
btd6_vaultomonkeymoney Description,Una bóveda entera llena de mónares.
btd6_mountainomonkeymoney,Montaña de mónares
btd6_mountainomonkeymoney Description,Necesitarás un equipo de monos sherpas para llegar a la cima de esta montaña increíble de mónares.
btd6_towerxp,(5000) PE moneril
btd6_towerxp Description,Obtén {0} PE para tu mono favorito ahora.
btd6_fulltowerunlock,Desbloqueo moneril total
btd6_fulltowerunlock Description,Desbloquea todas las mejoras de una torre moneril al instante.
btd6_doublecashmode,Modo dinero doble
btd6_doublecashmode Description,Obtén el doble de dinero dentro del juego para siempre. Se puede desactivar.
btd6_knowledgeunlocked,Conocimiento desbloqueado
btd6_knowledgeunlocked Description,Desbloquea los secretos del conocimiento moneril. Sube de forma instantánea al rango {0} y recibe {1} puntos de conocimiento adicionales.
btd6_knowledgepoint,Punto de conocimiento
btd6_knowledgepoint Description,Vuélvete más sabio en todo lo referente a los monos con este punto de conocimiento.
btd6_herobooster,Potenciador de héroe
btd6_herobooster Description,El héroe seleccionado en la partida actual se adquiere el nivel {0} hasta el final de dicha partida.
btd6_powersattackpack,Paquete de poderes de ataque
btd6_powersattackpack Description,Un surtido de {0} poderes moneriles pensados para la batalla.
