//Input. Needs to be first e.g [I] replaced by click or tap,
Click,انقر
Hint 54,بلونز تي دي 6 رائعة. والحياة رائعة أيضا. لا تنس أن تأخذ استراحة لوقت قليل وتفعل شيئًا آخر. ثم العب المزيد من بلونز تي دي 6!
Hint 58,هل يمكنك فرقعة بالونات الرصاص؟ هل يمكنك فرقعة البالونات المموهة؟ ما رأيك في... بالونات الرصاص المموهة؟
Hint 59,الجولة النهائية لصعوبة متوسطة قادمة بعد ذلك. تهانينا! إذا كان بإمكانك فرقعة منطاد بي إف بي...
Hint 62,إذا كنت تلعب بلونز تي دي 5، فستتذكر كيف كانت الجولة 63. إذا كنت جديدًا على هذه اللعبة، دعنا نقول فقط: أن الكثير من البالونات السيراميكية محكمة النفخ.
Hint 73,الجولة التالية: بلونات سيراميكية معززة مموهة وقابلة للنمو من جديد. هووو! يا لها من كمية ضئيلة.
Hint 77,ماذا يحدث عند حشر 75 بالون سيراميك في مساحة صغيرة؟ أنت على وشك معرفة ذلك!
Hint 79,الجولة النهائية بالصعوبة الشديدة التالية. ارمي كل ما لديك على بالون زومجينيتور. إنها بالونة كبيرة وبطيئة، ولكنها صعبة للغاية.
Hint 89,"ما هو بالون ""دي دي تي"" الذي تسأل عنه؟ إنه يشبه منطاد ""موآب"" ولكنه مخطط باللون الوردي ومموه و بالون رصاصي. بجميع الطرق السيئة"
Hint 100,مبروك على الفوز في الجولة 100! استمتع بمكافأتك!
,
//Alternate Round Messages [will comment out duplicates for now / warnings],
Alternate Hint 3,جولات البالونات البديلة...
Alternate Hint 4,"أنت تعرف أن كلمة ""بديل"" تعني أصعب، أليس كذلك؟"
Alternate Hint 5,هل أصبت بالذعر عندما رأيت بالونات مموهة؟
Alternate Hint 7,هل ما زلت على أقصى حياة؟
Alternate Hint 8,حسنًا، أتساءل متى ستظهر أول بالونة رصاص؟
Alternate Hint 21,"هذا هو سبب تسميته بجولة ""الجوع النقدي""..."
Alternate Hint 39,"الجولة التالية، منطاد ""موآب"" كالعادة. أو هو؟"
Alternate Hint 59,"منطاد ""بي إف بي"" الجولة القادمة . أم ينبغي أن يكون إف بي إف بي؟"
Alternate Hint 77,الجولة التالية جولة نتنة حقيقة ...
Alternate Hint 79,زومجينيتور هو الذي كان صعبًا...
Alternate Hint 99,لم يكن هذا سيئًا، أليس كذلك؟
Alternate Hint 100,مبروك على الفوز في الجولة 100! استمتع بمكافأتك!
,
// iap ,
Max Level,اعلى مستوى
Processing,جارٍ المعالجة
Purchased,تم الشراء
Purchase failed,الشراء لم ينجح. يُرجى التحقق من اتصال الإنترنت وتسجيل الدخول للجهاز.
,
// Time,
days,أيام
day,يوم
hours,ساعات
hour,ساعة
minutes,دقائق
minute,دقيقة
seconds,ثواني
second,ثانية
,
// Store: standard,
btd6_monkeymoney,أموال القرود
btd6_monkeymoney Description,حفنة صحية من أموال القرد.
btd6_pileomonkeymoney,كومة من أموال القرود
btd6_pileomonkeymoney Description,كومة كبيرة من أموال القرود
btd6_vaultomonkeymoney,قبو كامل من أموال القرود
btd6_vaultomonkeymoney Description,قبو كامل ممتلئ حتى أسنانه من أموال القرود!
btd6_mountainomonkeymoney,جبل من أموال القرود
btd6_mountainomonkeymoney Description,ستحتاج إلى فريق من قرود شيربا للوصول إلى قمة هذا الجبل الرائع من أموال القرود.
btd6_towerxp,(5000) نقطة خبرة للقرود
btd6_towerxp Description,احصل على {0} من نقاط الخبرة لبرج القرود المفضل لديك الآن!
btd6_fulltowerunlock,فتح القرد الكامل
btd6_fulltowerunlock Description,افتح جميع ترقيات برج القرود على الفور.
btd6_doublecashmode,وضع النقد المضاعف
btd6_doublecashmode Description,احصل على ضعف النقود داخل اللعبة إلى الأبد! ممكن تعطيله.
btd6_knowledgeunlocked,تم فتح المعرفة
btd6_knowledgeunlocked Description,فتح أسرار معرفة القرد! ارتقِ فورًا إلى التصنيف {0} واحصل أيضًا على {1} من النقاط المعرفية الإضافية!
btd6_knowledgepoint,نقطة معرفية
btd6_knowledgepoint Description,كن أكثر حكمة في طرق القرود باستخدام نقطة المعرفة هذه.
btd6_herobooster,معزز البطل
btd6_herobooster Description,سيصبح مستوى البطل المحدد في لعبتك الحالية عند {0} حتى نهاية هذه اللعبة.
btd6_powersattackpack,حزمة القِوَى الهجومية
btd6_powersattackpack Description,مجموعة متنوعة من {0} قوى القرود التي ينصب تركيزها على المعركة.
btd6_instatowerspack,مجموعة القرود الفورية
btd6_instatowerspack Description,5 أبراج للقرود، جاهزة للتمركز بدون نقود داخل اللعبة! يحتوي على 2 المستوى 1، و2 المستوى 2، و1 المستوى 3
btd6_tier3instatowerspack,مجموعة قرود جاهزة من المستوى 3
btd6_tier3instatowerspack Description,10 أبراج لعدد  قرود جاهزة، جاهزة للتمركز بدون نقود داخل اللعبة!
btd6_tier4instatowerspack,مجموعة قرود جاهزة من المستوى 4
btd6_tier4instatowerspack Description,10 أبراج لعدد  قرود جاهزة، جاهزة للتمركز بدون نقود داخل اللعبة!
btd6_needmoremonkeymoneyprompt,عدم كفاية أموال القرود! شراء المزيد؟
,
,
// Store: Limited Time Packs,
btd6_knowledgepoints,{0} من النقاط المعرفية
btd6_knowledgepoints Description,احصل على {0} من النقاط المعرفية للقرود الآن!
btd6_extraTowerxp,({0} من نقاط الخبرة الإضافية للبرج)
btd6_extraTowerxp Description,احصل الآن على {0} من نقاط الخبرة لبرج القرود المفضل لديك!
btd6_extramonkeymoney,مزيد من أموال القرود
btd6_extramonkeymoney Description,عرض خاص! {0} من أموال القرود بسعر منخفض جدًا.
btd6_powerspandamonium,قوى الباندامونيوم
btd6_powerspandamonium Description,بقوانا مجتمعة! {0} من أفضل قوى القرود التي يمكنك الحصول عليها في حزمة واحدة.
btd6_instatowersmegabooster,داعم كبير للقرود الجاهزة
btd6_instatowersmegabooster Description,تحتوي هذه الحزمة الضخمة على 5 أبراج قرود جاهزة من المستوى 2 و12 برج للقرود الجاهزة من المستوى 3 و3 أبراج قرود جاهزة من المستوى 4 لوضعها بدون نقود داخل اللعبة!
btd6_megamonkeycompendiumpack,حزمة متوافقة من القرود الضخمة
btd6_megamonkeycompendiumpack Description,حزمة ضخمة مليئة بالأشياء الجديدة الرائعة! 25000 من أموال القرود و 100 من القوة الهجومية و30 برج جاهز من أبراج القرود على المستوى 3 و15 برج جاهز من أبراج القرود على المستوى 4 و5 أبراج قرود جاهزة  ومعارف مفتوحة (الرتبة 30، 5 نقاط إضافية معرفية للقرود)!
btd6_tier5instatowerpack,مجموعة قرود جاهزة من المستوى 5
btd6_tier5instatowerpack Description,10 أبراج قرود جاهزة على المستوى 5، جاهزة للتمركز بدون نقود داخل اللعبة!
,
// Store: Sale packs,
btd6_pileomonkeymoney_sale,بيع كومة من أموال القرود
btd6_pileomonkeymoney_sale Description,كومة كبيرة من أموال القرود
btd6_vaultomonkeymoney_sale,بيع قبو من أموال القرود
btd6_vaultomonkeymoney_sale Description,قبو كامل ممتلئ حتى الحافة من أموال القرود!
btd6_knowledgepoints_sale,{0} من البيع المعرفي
btd6_knowledgepoints_sale Description,احصل على {0} من النقاط المعرفية للقرود الآن!
btd6_instatowersmegabooster_sale,خصم على المعزز الضخم للقرود الجاهزة
btd6_instatowersmegabooster_sale Description,تحتوي هذه الحزمة الضخمة على 5 أبراج قرود جاهزة من المستوى 2 و12 برج للقرود الجاهزة من المستوى 3 و3 أبراج قرود جاهزة من المستوى 4 لوضعها بدون نقود داخل اللعبة!
btd6_tier3instatowerspack_sale,خصم على مجموعة قرود جاهزة من المستوى 3
btd6_tier3instatowerspack_sale Description,10 أبراج لعدد  قرود جاهزة، جاهزة للتمركز بدون نقود داخل اللعبة!
btd6_tier4instatowerspack_sale,خصم على مجموعة قرود جاهزة على المستوى 4
btd6_tier4instatowerspack_sale Description,10 أبراج لعدد  قرود جاهزة، جاهزة للتمركز بدون نقود داخل اللعبة!
,
Restore,استرداد
Today,اليوم
DailyRewardDay,اليوم {0}
Sale Ends In,التخفيضات تنتهى في:
Offer Ends In,العرض ينتهي في:
Promo Ends In,الترقية تنتهي في:
Loot.TowerXP.Title,{0} من نقاط الخبرة
Loot.Base.Description,{0} خبرة
Loot.BaseAdd.Description,{0}
Loot.InstaRank.Description,المستوى {0}
Loot.DoubleCashMode.Title,وضع النقد المضاعف
Loot.FullTowerUnlock.Title,فتح {0} من البرج بالكامل
