//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Tıkla
Super Mines Description,Neredeyse her şeyi yok edebilen patlayan devasa çivili mayınlar oluşturur.
Carpet of Spikes Description,Düzenli olarak tüm parkura çivi halısı gönderir.
Perma-Spike Description,Yüksek hasarlı çiviler neredeyse kalıcı hale gelir.
,
Military Efficiency Description,Yarıçaptaki Asker Maymunların kapladığı alanı azaltır.
Magic Sciences Description,Yarıçaptaki Sihirli Maymunlar ekstra delme ve saldırı hızı kazanır.
Private Tuition Description,Kahramanın için tur başına daha fazla XP oluşturur.
Wider Influence Description,Akademiye daha geniş bir etki yarıçapı sağlar.
Academic Network Description,Bu yükseltmeyle tüm Akademiler için Akademi yarıçapını artırır.
Heroic Presence Description,Akademinin yarıçapındayken Kahramanların menzili %15 artar.
M.A.S.H Description,Maymun Ordusu Cerrahi Hastanesi patlatılan Bloon’lar için ekstra can verir.
Wizards Library Description,"Yarıçaptaki Sihirbazlar, Medyumlar ve Simyacılar üç yükseltme yolunun tamamında 2. kademeye kadar öğrenebilir."
Heroic Academy Description,Kahramanının yetenek gecikme süreleri kısalır.
Military Barracks Description,"Yarıçaptaki Asker Maymunlar daha fazla menzil, daha fazla patlatma kazanır ve iyi bir fiyata satılabilir."
Magic Arcanum Description,Akademi Mezunu yeteneği: Yetenekleri yakındaki Sihirli Maymunlara dayanan güçlü bir Maymun yaratır.
Power Hero Development (PhD) Description,Kahramanın için tur başına ekstra bir sürü XP oluşturur.
Military HQ Description,"Her yerdeki Asker Maymunlar büyük menzil, patlatma ve hasar geçici güçlendirmeleri kazanır."
Nexus Crucible Description,Yetenekle oluşturulan Akademi Mezunları kalıcıdır!
Dynamic Duo Description,İkinci bir kahraman edinmeni sağlar!
,
Bigger Radius Description,Köyün etki yarıçapını artırır.
Grow Blocker Description,Köyün yarıçapındayken Yeniden Şişen Bloon’ların şişmesini engeller.
Monkey Business Description,Tüm Maymunlara %10 indirim ve Köyün yarıçapında satın alınan 3. kademe veya daha düşük Maymunlara yükseltmeler sağlar.
Jungle Drums Description,Yarıçaptaki tüm Maymunların saldırı hızını artırır.
Radar Scanner Description,Yarıçaptaki tüm Maymunların Kamuflajlı Bloon’lara saldırmasına olanak tanır.
Monkey Commerce Description,"Bu yükseltmeyle birlikte, diğer Köylerle 2 kez istiflenebilen ek %5 indirim."
Primary Training Description,"Yarıçaptaki tüm Birincil Maymunlar daha fazla menzil, delme ve fırlatıcı hızı kazanır."
Monkey Intelligence Bureau Description,"Büro, özel Bloon patlatma bilgisi sağlayarak yakındaki Maymunların tüm Bloon türlerini patlatmasına olanak tanır."
Monkey Town Description,"Maymun Kasabasının yarıçapındaki tüm Maymunlar, patlayan Bloon başına ekstra nakit kazanır."
Primary Mentoring Description,"Yarıçaptaki tüm Birincil Maymunlar ücretsiz olarak 1. Kademe yükseltmeler, yüksek menzil ve düşük yetenek gecikme süreleri kazanır."
Call to Arms Description,Orduya Çağrı Yeteneği: Yakındaki Maymunlara +%50 saldırı hızı sağlar ve kısa süre için patlatır.
Monkey City Description,"Etki yarıçapını, yarıçaptaki nakit oluşturmayı artırır ve her turda sana ücretsiz bir Okçu Maymun verir."
Primary Expertise Description,"Mega Mancınık saldırısı ekler, ayrıca yarıçaptaki tüm Birincil Maymunlar daha fazla patlatma gücü, daha da kısalmış yetenek gecikme süreleri ve ücretsiz olarak 1. ve 2. kademe yükseltmeler kazanır."
Homeland Defense Description,Bu yetenek şimdi tüm Maymunlar için saldırı ve patlatma hızını 20 saniye boyunca %100 artırır.
Monkeyopolis Description,Yakındaki tüm Muz Çiftliklerini ve gelirlerini emerek yeni Maymunlar için yer açar.
,
//Ability Names,
Super Monkey Fan Club Ability,Süper Maymun Hayran Kulübü
Plasma Monkey Fan Club Ability,Plazma Maymun Hayran Kulübü
Turbo Charge Ability,Turbo Yük
Perma Charge Ability,Kalıcı Yük
MOAB Assassin Ability,MOAB Suikastı
MOAB Eliminator Ability,MOAB Giderme
Blade Maelstrom Ability,Bıçak Girdabı
Super Maelstrom Ability,Süper Girdap
Snowstorm Ability,Kar Fırtınası
Absolute Zero Ability,Mutlak Sıfır
Glue Strike Ability,Yapışkanlı Saldırı
Glue Storm Ability,Yapışkan Fırtınası
Supply Drop Ability,İkmal Malzemesi Atma
Elite Sniper Ability,Elit İkmal Malzemesi Düşürme
Elite Defender Ability,Elit Koruyucu
First Strike Capability Ability,İlk Vuruş
Pre-emptive Strike Ability,Önleyici Saldırı
Monkey Pirates Ability,MOAB Parçalama
Pirate Lord Ability,Korsan Lordu
Ground Zero Ability,Sıfır Noktası
Tsar Bomba Ability,Çar Bombası
Support Chinook Redeploy Ability,Çinok Desteği Yeniden Konuşlandırma
Support Chinook Supplies Ability,Çinok Desteği İkmal Malzemeleri
Special Poperations Ability,Özel Kuvvetler
Pop and Awe Ability,Korkut Patlat
Rocket Storm Ability,Roket Fırtınası
Mauler Storm Ability,Hırpalayıcı Fırtınası
Summon Phoenix Ability,Anka Kuşunu Çağırma
Wizard Lord Phoenix Ability,Sihir Lordu Anka Kuşu
Soulbind Ability,Karanlıklar Prensi
Tech Terror Ability,İmha
The Anti-Bloon Ability,Bloonsavar
Legend of the Night Ability,Gecenin Efsanesi
Bloon Sabotage Ability,Sabotaj
Grand Saboteur Ability,Muhteşem Sabotajcı
Transforming Tonic Ability,Dönüştürücü Tonik
IMF loan Ability,IMF kredisi
Monkey-Nomics Ability,Maymun Alışkanlıkları
Overclock Ability,Hız Aşırtma
Spike Storm Ability,Diken Fırtınası
Carpet of Spikes Ability,Çivi Halısı
Magic Arcanum Ability,Akademi Mezunu
Call to Arms Ability,Orduya Çağrı
Homeland Defense Ability,Yurt Savunması
,
//Ability Descriptions,
Super Monkey Fan Club Ability Description,Yakındaki en fazla 10 Okçu Maymunu 10 saniye boyunca Süper Maymunlara dönüştürür.
Plasma Monkey Fan Club Ability Description,Bu kulübün elit üyesi olmak Okçu Maymunlara çok daha fazla güç kazandırır!
Turbo Charge Ability Description,Bu Maymunun saldırısını 10 saniye boyunca inanılmaz hızlı hale getirir.
Perma Charge Ability Description,Bu Maymunun 15 saniye boyunca ek hasar vermesini sağlar.
MOAB Assassin Ability Description,Özel füze uçar ve MOAB Sınıfı Bloon’lara toplu hasar verir.
MOAB Eliminator Ability Description,Suikast yeteneği kısa bir gecikme süresiyle 6 kat hasar verir.
Blade Maelstrom Ability Description,Bıçak fırtınasıyla alanı korur.
Super Maelstrom Ability Description,Çok daha güçlü Girdap yeteneği ve daha uzun sürer.
Snowstorm Ability Description,Kısa süreliğine ekrandaki tüm Bloon’ları dondurur.
Absolute Zero Ability Description,"Bu yetenek öyle soğuktur ki, soğuğa dayanıklı ve MOAB Sınıfı Bloon’lar dahil, tüm Bloon türlerini dondurur."
Glue Strike Ability Description,Ekrandaki tüm Bloon’lara yapışkan bulaştırır.
Glue Storm Ability Description,"Yapışkan Fırtınası yeteneği, 15 saniye boyunca tüm ekrana yapışkan yağdırır."
Supply Drop Ability Description,Nakitle dolu bir sandık düşürür.
Elite Sniper Ability Description,İkmal malzemesi düşürme çok daha fazla nakit kazandırır.
Elite Defender Ability Description,Kayıp bir ömür bu Keskin Nişancıya kısa süreliğine 2 kat saldırı hızı kazandırır.
First Strike Capability Ability Description,Ekrandaki en büyük Bloon’a yok edici bir füze saldırısı. Tek seferde bir ZOMG Bloon’u veya çok sayıda daha küçük Bloon’u patlatabilir.
Pre-emptive Strike Ability Description,Bloon girişinden MOAB Sınıfı Bloon canlandığında otomatik olarak ekstra MOAB savar füze tetiklenir.
Monkey Pirates Ability Description,Bir MOAB Sınıfı Bloon’u yakalar ve alt eder.
Pirate Lord Ability Description,Tek seferde 3 yakalayıcı kanca fırlatabilir ve onlarla birlikte gelen her bir MOAB Sınıfı Bloon’dan ekstra nakit yağmalar.
Ground Zero Ability Description,Bomba düşüşlerinin etkisini artırır. Sıfır Noktası Yeteneği: Ekrandaki çoğu şeyi yok eden büyük bir bomba atar.
Tsar Bomba Ability Description,Çok ama çok büyük bir bomba. Biri bu çılgınlığa dur desin!
Support Chinook Redeploy Ability Description,Birçok Maymun türünü toplayıp yeniden görevlendirebilir.
Support Chinook Supplies Ability Description,Can ve nakit sandıkları düşürür.
Special Poperations Ability Description,Makine tüfeğe sahip güçlü ve özel bir Maymun Deniz Kuvvetini görevlendirir.
Pop and Awe Ability Description,"Tüm ekrana patlamalar yağdırır, tüm Bloon’ları patlatır ve birkaç saniyeliğine hareketsizleştirir."
Rocket Storm Ability Description,Her yöne güçlü bir roket fırtınası gönderir.
Mauler Storm Ability Description,Her bir füze MOAB Sınıfı Bloon’lara ekstra hasar verir.
Summon Phoenix Ability Description,Güçlü anka kuşu 20 saniye boyunca Bloon’lara hasar verir.
Wizard Lord Phoenix Ability Description,Sihir Lordu alevin ustası olur ve kısa süreliğine süper güçlü bir Lav Anka Kuşuna dönüşür.
Soulbind Ability Description,"Düşmanı yok etmek için çok daha güçlü Bloon yardımcılarını canlandırır, o da hayatını kurtarabilir…"
Tech Terror Ability Description,Birçok Bloon’u tamamen ve patlama yarıçapındakileri tamamen yok eder.
The Anti-Bloon Ability Description,<Program Talimatı> <Bloon’ları Yok Et> <BAŞLAT>
Legend of the Night Ability Description,Tüm ümitler tükenince ona döndük...
Bloon Sabotage Ability Description,Sabotaj sırasında tüm Bloon’lar yavaşlatılmış hızda hareket eder.
Grand Saboteur Ability Description,Yetenek süresi daha uzundur ve MOAB Sınıfı Bloon’lar sabotaj sırasında daha düşük can sayısıyla canlanır.
Transforming Tonic Ability Description,Medyumun yakınındaki çiftlikler kısa süreliğine %50 daha fazla para kazanır.
IMF loan Ability Description,9.000 Dolar verir ama bunu zamanla geri ödemen gerekir.
Monkey-Nomics Ability Description,Batamayacak kadar büyük olduğunda...
Overclock Ability Description,Hedef Maymun kısa süreliğine süper güçlü hale gelir.
Spike Storm Ability Description,Tüm parkura kalın bir çivi katmanı fırlatır.
Carpet of Spikes Ability Description,Her turda tüm parkura çivi halısı gönderir.
Magic Arcanum Ability Description,Yetenekleri yakındaki Sihirli Maymunlara dayanan güçlü bir Maymun yaratır.
Call to Arms Ability Description,Tüm Maymunlara +%50 saldırı hızı sağlar ve 10 saniye boyunca patlatır.
Homeland Defense Ability Description,Tüm Maymunlara +%100 saldırı hızı sağlar ve 20 saniye boyunca patlatır.
,
//Maps,
TownCentre,Kasaba Merkezi
Tutorial,Maymun Ovası
TreeStump,Çotuk
InTheLoop,İşin İçinde
BTD1,BTD1
Cubism,Kübizm
FourCircles,Dört Halka
Cracked,Çatlak
Hedge,Çit
Streambed,Akarsu Yatağı
MonkeysInSpace,Uzaydaki Maymunlar
Underground,Yer Altı
AnotherBrick,Başka Bir Tuğla
#ouch,#Ah
EndOfTheRoad,Yolun Sonu
Chutes,Kanallar
Rake,Tırmık
OffTheCoast,Kıyıdan Açıkta
MuddyPuddles,Çamur Birikintileri
ParkPath,Park Yolu
Logs,Kütükler
TestMap,Test Haritası
Cornfield,Mısır Tarlası
SpiceIslands,Baharat Adaları
FiringRange,Ateşleme Menzili
HighFinance,Yüksek Finans
Downstream,Aşağı Yönde
DarkCastle,Kara Kale
FrozenOver,Aşırı Donmuş
Haunted,Perili
Quad,Avlulu
MoonLanding,Aya İniş
AlpineRun,Alpler Yarışı
Peninsula,Yarımada
,
//Tower Groups,
Primary,Birincil
Military,Askeri
Magic,Sihir
Support,Destek
Heroes,Kahramanlar
Powers,Güçler
,
//Misc,
Crit,Kritik
,
//Target Types,
TT_Close,Yakın
TT_First,İlk
TT_Last,Son
TT_Strong,Güçlü
TT_Track,Normal
TT_Circle,Daire
TT_CloseTrack,Yakın
TT_CustomPath,Özel Yol
TT_Elite,Elit
TT_FarTrack,Uzak
TT_FigureInfinite,Sonsuz Değer
TT_FigureEight,Sekiz Değeri
TT_FollowTouch,Dokunmatik Takip
TT_LockInPlace,Konuma Kilitlenme
TT_NecromancerTarget,Büyücü Hedef
TT_OffsetTrack,Dengeli Parkur
TT_PatrolPoints,Devriye Noktaları
TT_Pursuit,Takip
TT_RandomPosition,Rasgele Konum
TT_RandomTarget,Rasgele Hedef
TT_SmartTrack,Akıllı
TT_Submerge,Batmış
TT_CloseSharedRange,Kapalı Paylaşılan Menzil
TT_ExpensiveFriendlyTarget,Pahalı Dostu Hedef
TT_FirstSharedRange,İlk Paylaşılan Menzil
TT_FriendlyTarget,Dost Hedef
TT_Grapplable,Yakalanabilir
TT_TargetIndependant,Bağımsız Hedef
TT_TargetInFront,Ön Hedef
TT_LastSharedRange,Son Paylaşılan Menzil
TT_TargetMoab,MOAB’ı Hedefle
TT_TargetOpposite,Ters Tarafı Hedefle
TT_TargetPointer,Hedef İşaretçisi
TT_SetTarget,Hedefi Belirle
TT_StrongSharedRange,Güçlü Paylaşılan Menzil
TT_TargetTag,Hedef Etiketi
TT_TrackOrDefault,Parkur veya Varsayılan
TT_Centered,Ortalanmış Yol
,
//Currency,
Cash,Nakit
XP,XP
Monkey Money,Maymun Parası
Free,Ücretsiz
,
Round,Tur
Max Tier Reached,Maks Kademeye Ulaşıldı
Empty,Boş
Not Upgraded,Yükseltilmedi
Owned,Sahip Olunan
Max Upgrades,Maks. Yükseltme
Deployed Message,{0} Görevlendirildi
,
//UI Misc,
OK,TAMAM
Cancel,İptal
Start,Başlat
Return To Menu,Menü
Freeplay,Bedavaoyna
Continue,Devam et
Done,Bitti
Try Again,Yeniden Denensin Mi?
Continue?,Devam edilsin mi?
,
Rewards,ÖDÜLLER:
Change Hero,Kahramanı Değiştir
Select a Hero,Bir Kahraman Seç
Select a Map,Bir Harita Seç
Selected,Seçildi
Select a Hero Subheading,Kahramanın birliklere savaşta liderlik eden güçlü bir maymun
Select Language,Dil Seç
Unlock All,TÜMÜNÜ AÇ
Upgrade Ingame cost,Oyun içi maliyet
Loading,Yükleniyor...
,
Defeat,Yok et
Defeat Message,Belki daha düşük zorlukta tekrar deneyebilirsin
Victory,Galibiyet
Victory Message,Kötü Bloon’ları durdurdun
,
,
//ModeSelectScreen,
Select a Mode,Bir Mod Seç
Mode Standard,Standart
Mode MilitaryOnly,Yalnızca Askeri
Mode Apopalypse,Kıyamet
Mode Reverse,Ters
Mode Sandbox,Özgür
Mode PrimaryOnly,Yalnızca Birincil
Mode Deflation,Deflasyon
Mode Half Cash,Yarı Nakit
Mode DailyChallenge,Günlük Görev
,
//GameTypeScreen,
Choose a Game,Bir Oyun Seç
New Game,Yeni Oyun
Daily Challenge,Günlük Görev
Co-op,Co-Op
Random,Rasgele
,
//HomeScreen,
HS Monkeys,MAYMUNLAR
HS Heroes,KAHRAMANLAR
HS Play,OYNA
HS Powers,GÜÇLER
HS Knowledge,BİLGİ
,
//In game screens,
Upgrades,Yükseltmeler
Sell,Sat
Get More,Daha Fazla Al
,
// PauseMenu ,
Controls,Kontroller
Drag & Drop,Sürükle Bırak
Lock & Drop,Bırak Kilitle
Line of Sight,Nişan Çizgisi
Continuous Play,Sürekli Oyun
Off,Kapalı
Store,Mağaza
Home,Ana Sayfa
Restart,Yeniden Başlat
You ran out of lives on:,Canın tükendi:
Game Over Round,{0}. Tur
Victory Body,Tebrikler! Bu parkuru şu zorlukta tamamladın: {0}
,
// LinK,
Log out,Oturumu kapat
Clear Data,Verileri Temizle
Login,Oturum Aç
Not logged into LiNK,LiNK’te oturum açılmadı
Logged into LiNK as,{0} olarak LİNK’te oturum açıldı
,
// Map Difficulty,
MD Beginner,İlk Seviye
MD Intermediate,Orta Seviye
MD Advanced,İleri Seviye
MD Expert,Uzman Seviye
MD Extreme,Zor Seviye
,
//Tower Specific Messages,
Patrol Message,Devriye puanını belirlemek için [I]
Sun Temple Title,Tapınak Kurbanları
Sun Temple Body,Tapınak kurban istiyor. Yakındaki tüm atıcılar yok edilerek Tapınağın inanılmaz gücü farklı şekillerde geliştirilecek. Seni uyarmıştık...
True Sun Temple Title,Tapınak Kurbanları
True Sun Temple Body,GERÇEK GÜNEŞ TANRISI’NI \nçağırmak ister misin!!??
