//Input. Needs to be first e.g [I] replaced by click or tap,
Click,點擊
Continue Saved Game Title,繼續上次儲存的遊戲？
Continue Saved Game Body,你是否想從第{0}回合的{1}繼續完成模式{2}，{3}難度的游戲？
Continue Saved Game Okay,加載存檔
Continue Saved Game Cancel,新建遊戲
,
,
//Hero Messages,
Generic Hero Message,需要幫助？
,
//Tutorial,
Welcome Title,歡迎來到Bloons™ Tower Defense 6
Welcome Title Partial,歡迎來到 
Welcome Body,猴子vs氣球的史詩冒險
Town Trouble Title,歡迎來到Bloons™ Tower Defense 6
Town Trouble Body,氣球已經佔領了你的城鎮！
Town Trouble Button,把它收復
Bloon Entry,阻止氣球通過！
Bloon Outro,...嘗試逃離這裡。
Place First Tower,從放置一隻飛鏢猴開始。
Place Second Tower,再放置一隻飛鏢猴，然後[I]開始遊戲
Press Go,現在[I]開始！
Finished Round One,那很簡單吧？ [I]開始遊戲開始下一回合
Earning Experience,擊破氣球你的猴子即可獲得經驗。
Unlocking Upgrades,你的飛鏢猴子已足夠來解鎖一項升級
Upgrade Details,每種猴子類型都可沿3條路綫升5次級。現在就解鎖其中一個吧。
Upgrade Complete,棒！你現在可以用此項升級來升級你現有的猴子。
Select Monkey,你已解鎖升級，但你需要在遊戲中手動對猴子進行升級。立即輕按猴子升級。
Select Upgrade,現在，選擇未鎖定的升級至訂購和裝備。
Hero Title,英雄！
Quincy Intro,需要幫助？
Hero Info,在遊戲裏，Quincy是一隻可自行升級的猴子英雄。每次射擊可擊破多個氣球。
Last Round,還有一回合！
Next Map Title,幹得不錯！
Next Map Description,我們已經把它們趕跑了，接下來快去那棵大樹下去！
Next Map Button,開始吧
Big Tree Title,大樹
Big Tree Description,這棵樹擋住了你的猴子的視線，因此放置時要小心些。一些猴子可以射過障礙物。
Big Tree Victory Title,最後一戰...
Big Tree Victory Description,勝利在望，打入鎮中心！
Big Tree Victory Button,開始吧
Town Centre Title,鎮中心
Town Centre Description,粉碎所有氣球，拯救你的城鎮。
Town Centre Victory Description,我們做到了！
Home Description,歡迎回家
Xp Reminder Title,別忘了！
Xp Reminder Description,別忘記把你的猴子XP積分花掉，來為你的猴子解鎖更多升級。
Lose Tutorial Title,哎呦！
Lose Tutorial Description,你的生命用完了！再试一次。尝试在路徑附近放置更多猴子，或獲取更多升级。
Select a Monkey,選擇一隻猴子
Earning Experience Title,解鎖升級
Unlocking Upgrades Title,解鎖升級
Next,下一步
,
//Loading Messages,
Loading Message 0,正在檢驗圖形文字…
Loading Message 1,正在訓練猴子…
Loading Message 2,正在準備飛鏢…
Loading Message 3,正在為氣球充氣…
Loading Message 4,正在收集香蕉…
Loading Message 5,正在休息…
Loading Message 6,正在修剪花園…
Loading Message 7,正在釋放克魯蘇猴子…
Loading Message 8,正在喚醒太陽神…
Loading Message 9,正在召喚英雄…
Loading Message 10,正在下載新內容
Internet Connection Required Message,需要網路連接才能下載新的遊戲內容。請檢查連接。正在重試…
,
// Achievements,
Achievement 1 Name,極難
Achievement 1 Description,擊破{0}個氣球。
Achievement 2 Name,MOAB殺手
Achievement 2 Description,摧毀{0}個MOAB級氣球
Achievement 3 Name,BFB剋星
Achievement 3 Description,摧毀{0}個BFB
Achievement 4 Name,ZOMG殺手
Achievement 4 Description,摧毀{0}個ZOMG级氣球
Achievement 5 Name,我把DDT幹掉了
Achievement 5 Description,摧毀{0}個DDT
Achievement 6 Name,工兵
Achievement 6 Description,擊破{0}個强化氣球或MOAB級氣球。最好避免即時擊殺和強化剝離。
Achievement 7 Name,初嘗勝果
Achievement 7 Description,{0}次非教程初学者地圖勝利
Achievement 8 Name,蚱蜢
Achievement 8 Description,在{0}個不同的新手地圖上獲勝
Achievement 9 Name,進階
Achievement 9 Description,在中級地圖上贏得{0}個遊戲
Achievement 10 Name,隨行者
Achievement 10 Description,在{0}個不同的中級地圖上贏得遊戲
Achievement 11 Name,高級玩家
Achievement 11 Description,在中級地圖上贏得{0}個遊戲
Achievement 12 Name,極端玩家
Achievement 12 Description,在極端地圖上贏得{0}個遊戲
Achievement 13 Name,大猴子
Achievement 13 Description,部署一座4階猴塔
Achievement 14 Name,巨型猴子
Achievement 14 Description,部署一座5階猴塔
Achievement 15 Name,英雄時間
Achievement 15 Description,在非教程地圖上部署一個英雄
Achievement 16 Name,英雄力量激活
Achievement 16 Description,使用任何英雄第3級技能
Achievement 17 Name,更大，更壞
Achievement 17 Description,使用任何英雄第10級技能
Achievement 18 Name,史詩英雄
Achievement 18 Description,升級任何英雄到級別{0}
Achievement 19 Name,猴復仇者聯盟
Achievement 19 Description,使用{0}個不同英雄贏得游戏
Achievement 20 Name,你得到了力量
Achievement 20 Description,第一次使用力量
Achievement 21 Name,力量玩家
Achievement 21 Description,{0}次使用力量
Achievement 22 Name,有力量者
Achievement 22 Description,{0}次使用力量
Achievement 23 Name,學生
Achievement 23 Description,應用你的第一個猴子知識點
Achievement 24 Name,學者
Achievement 24 Description,應用{0}個猴子知識點
Achievement 25 Name,猴子博士
Achievement 25 Description,花費106個猴子知識點
Achievement 26 Name,首猴先來
Achievement 26 Description,僅使用初級猴子贏得{0}個遊戲
Achievement 27 Name,戰爭猴子
Achievement 27 Description,僅使用軍事猴子贏得{0}個遊戲
Achievement 28 Name,媽咪媽咪轟猴子
Achievement 28 Description,僅使用魔法猴子贏得{0}個遊戲
Achievement 29 Name,無聞猴子
Achievement 29 Description,僅使用支援猴子贏得{0}個遊戲
Achievement 30 Name,充氣了
Achievement 30 Description,在放氣模式下獲勝{0}回合
Achievement 31 Name,倖存者
Achievement 31 Description,在啟示錄模式下獲勝{0}回合
Achievement 32 Name,獨立
Achievement 32 Description,以备用氣球回合贏得{0}個遊戲
Achievement 33 Name,沒那麼難
Achievement 33 Description,在極難上贏得{0}個遊戲
Achievement 34 Name,節儉
Achievement 34 Description,以現金減半模式贏得{0}場比賽
Achievement 35 Name,氣球巨獸！
Achievement 35 Description,與雙倍生命值MOAB級氣球作戰時贏得{0}個遊戲 
Achievement 36 Name,角色反轉者
Achievement 36 Description,赢得一個反轉模式遊戲
Achievement 37 Name,奖牌贏家
Achievement 37 Description,獲得一張地圖的所有獎牌
Achievement 38 Name,美裝英雄
Achievement 38 Description,在新手地圖獲得36枚難度獎牌
Achievement 39 Name,红色和蓝色讓...
Achievement 39 Description,擊破{0}個紫色氣球
Achievement 40 Name,紅外線
Achievement 40 Description,擊破{0}個偽裝氣球
Achievement 41 Name,力量組合
Achievement 41 Description,至少收集12種不同力量
Achievement 42 Name,挑戰者
Achievement 42 Description,赢得{0}個每日挑战赛
Achievement 43 Name,挑戰學徒
Achievement 43 Description,赢得{0}個每日挑戰。
Achievement 44 Name,挑戰大師
Achievement 44 Description,赢得{0}個每日挑戰。
Achievement 45 Name,完美的一周
Achievement 45 Description,完成一周所有每日挑戰。
Achievement 46 Name,知識淵博的靈長類動物
Achievement 46 Description,解鎖一個分支上所有的猴子知識
Achievement 47 Name,氣球大師
Achievement 47 Description,在CHIMPS模式下通過{0}張地圖
Achievement 48 Name,高級氣球大師
Achievement 48 Description,在CHIMPS模式下通過{0}張地圖
Achievement 49 Name,終極氣球大師
Achievement 49 Description,在CHIMPS模式下通過{0}張地圖
Achievement 50 Name,超級BAD
Achievement 50 Description,摧毁{0}個BAD
Collect,收集
,
//Standard Round Messages,
,
,
Hint 2,每擊破一層氣球，獲得1份現金，同時每回合結束時還有獎勵。
Hint 7,請常玩playing Bloons TD 6遊戲，並查看更新——地圖、英雄、挑戰和其他精彩部分。
Hint 12,你使用某個猴子的次數越多，你因用它而解鎖的升級也就越多。
Hint 26,看到斑马条纹氣球了嗎？它們結合了白氣球和黑氣球的可憎之處，黑白相間，非常有趣。
Hint 32,你在第24回合又看到了一个偽裝氣球。希望你已經準備好了迎接更多！
Hint 38,下一回合結束時有2個重生彩虹氣球。如果处理得不好，2個會變成更多個…
Hint 39,下一回合將出現第一個MOAB級氣球。不要說你沒有收到警告！
Hint 41,接下來：重生彩虹氣球和偽裝彩虹氣球。你確定沒問題？
Hint 45,接下來是强化陶瓷氣球。
Hint 50,很多偽裝陶瓷氣球能毀掉你的一天。只是随便说说。
Hint 54,BTD6真棒。生活也很棒。不要忘記時不時休息一下，去做別的事情。然後再繼續玩BTD6！
Hint 58,你能擊破鉛氣球嗎？你能擊破偽裝氣球嗎？要是...偽裝鉛氣球呢？
Hint 59,接下來是中等难度最後一回合。恭喜！如果你可以擊破BFB氣球...
Hint 62,如果你玩过BTD5，你会记得第63回合是什么样的。如果你是这个游戏的新手，這樣說吧：密密麻麻的陶瓷氣球。
Hint 73,下一回合：偽裝重生强化陶瓷氣球。唷！真難念。
Hint 77,當你將75個陶瓷氣球塞進一個狹小空間時會發生什麼？答案即將揭曉！
Hint 79,接下來是艱難難度的最後一回合。把你用來對付ZOMG級氣球的那一套都扔掉。它巨大而緩慢，但非常非常難搞。
Hint 89,你問什麼是DDT氣球？就如同一個雜交了粉紅色、偽裝和鉛氣球的MOAB級氣球。集各種壞為一體。
Hint 100,恭喜通過第 100 回合！領取你的獎勵！
,
//Alternate Round Messages [will comment out duplicates for now / warnings],
Alternate Hint 3,備用氣球回合...
Alternate Hint 4,你明白所謂“備用”，就是很難的意思，是嗎？
Alternate Hint 5,你看到偽裝氣球時，是否會恐慌？
Alternate Hint 7,仍然處於最大生命數狀態？
Alternate Hint 8,嗯，想知道什麼時候第一個鉛氣球會出現嗎？
Alternate Hint 21,這就是我們所說的“現金飢餓”回合...
Alternate Hint 39,下一回合，照舊是MOAB級氣球。或許不是？
Alternate Hint 59,下一回合是BFB。或者应该是FBFB？
Alternate Hint 77,下一回合才是真正棘手......
Alternate Hint 79,ZOMG級氣球真得很难...
Alternate Hint 99,沒有BAD級氣球難搞，不是嗎？
Alternate Hint 100,恭喜通過第 100 回合！領取你的獎勵！
,
// iap ,
Max Level,最高級別
Processing,處理中
Purchased,已購買
Purchase failed,購買失敗。請檢查網絡連接和設備登錄情況。
,
// Time,
days,天
day,天
hours,時
hour,時
minutes,分
minute,分
seconds,秒
second,第二
,
// Store: standard,
btd6_monkeymoney,猴幣
btd6_monkeymoney Description,一大筆猴幣。
btd6_pileomonkeymoney,一堆猴幣
btd6_pileomonkeymoney Description,一大堆猴幣。
btd6_vaultomonkeymoney,一保險庫的猴幣
btd6_vaultomonkeymoney Description,塞滿全部犄角的一保險庫的猴幣！
btd6_mountainomonkeymoney,猴幣山
btd6_mountainomonkeymoney Description,你需要一隊的夏爾巴猴子才能到達這座猴幣山的山頂。
btd6_towerxp,(5000) 猴子 XP
btd6_towerxp Description,現在就為你最喜愛的猴子塔獲取{0} XP！
btd6_fulltowerunlock,猴子全解鎖
btd6_fulltowerunlock Description,立即解鎖一種猴子塔的所有升級。
btd6_doublecashmode,雙倍現金模式
btd6_doublecashmode Description,永久獲得雙倍的遊戲現金！可以停用。
btd6_knowledgeunlocked,已解鎖知識
btd6_knowledgeunlocked Description,解開猴子知識的秘密！等級立即升至等級{0}，並獲得{1}個獎勵知識點！
btd6_knowledgepoint,知識點
btd6_knowledgepoint Description,有了這個知識點，猴子會變得更聰明。
btd6_herobooster,英雄推動器
btd6_herobooster Description,在你現在遊戲中選擇的英雄達到{0}級，直到本遊戲結束。
btd6_powersattackpack,力量攻擊包
btd6_powersattackpack Description,一套聚焦{0}戰鬥的猴子力量組合。
btd6_instatowerspack,即時猴子包
btd6_instatowerspack Description,5個猴子塔，已準備好放置，無需遊戲內現金！包含2個1階、2個2階和1個3階
btd6_tier3instatowerspack,3階即時猴子包
btd6_tier3instatowerspack Description,10個3階即時猴子塔，已準備好放置，無需遊戲內現金！
