//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Napsauta
Achievement 12 Name,Äärimmäinen pelaaja
Achievement 12 Description,Voita {0} peli äärimmäisellä kartalla
Achievement 13 Name,Mahtiapina
Achievement 13 Description,Ota käyttöön tason 4 apinatorni
Achievement 14 Name,Mega-apina
Achievement 14 Description,Ota käyttöön tason 5 apinatorni
Achievement 15 Name,Sankariaika
Achievement 15 Description,Ota sankari käyttöön muulla kuin opetuskartalla
Achievement 16 Name,Sankarin voimien aktivointi
Achievement 16 Description,Käytä kaikkia sankaritason 3 kykyjä
Achievement 17 Name,"Suurempi, pahempi"
Achievement 17 Description,Käytä kaikkia sankaritason 10 kykyjä
Achievement 18 Name,Eeppinen sankari
Achievement 18 Description,Nosta yksi sankari tasolle {0}
Achievement 19 Name,Apinakostajien liiga
Achievement 19 Description,Voita peli {0} eri sankarilla
Achievement 20 Name,Sinulla on voima
Achievement 20 Description,Käytä voimia ensimmäistä kertaa.
Achievement 21 Name,Tehokäyttäjä
Achievement 21 Description,Käytä voimia {0} kertaa
Achievement 22 Name,Voimaantunut
Achievement 22 Description,Käytä voimia {0} kertaa
Achievement 23 Name,Opiskelija
Achievement 23 Description,Käytä ensimmäistä apinatietämyksen pistettäsi
Achievement 24 Name,Tutkija
Achievement 24 Description,Käytä {0} apinatietämyksen pistettä
Achievement 25 Name,Tri Apina
Achievement 25 Description,Käytä 106 apinatietämyspistettä
Achievement 26 Name,Perusteellisesti perusapinoita
Achievement 26 Description,Voita {0} peliä käyttämällä vain perusapinoita
Achievement 27 Name,Sota-apinat
Achievement 27 Description,Voita {0} peliä käyttämällä vain sotilasapinoita
Achievement 28 Name,Abrakadapina
Achievement 28 Description,Voita {0} peliä käyttämällä vain maagisia apinoita
Achievement 29 Name,Unohdetut apinat
Achievement 29 Description,Voita {0} peliä käyttämällä vain tukiapinoita
Achievement 30 Name,Täytetty
Achievement 30 Description,Päihitä kierros {0} Tyhjennys-tilassa
Achievement 31 Name,Henkiin jäänyt
Achievement 31 Description,Päihitä kierros {0} Apopalypsi-tilassa
Achievement 32 Name,Indie
Achievement 32 Description,Voita {0} peliä vaihtoehtoisilla bloonikierroksilla
Achievement 33 Name,Poksautettava
Achievement 33 Description,Voita {0} peliä on Poksauttamaton-vaikeustasolla
Achievement 34 Name,Säästäväinen
Achievement 34 Description,Voita {0} peliä puolen rahan tilassa
Achievement 35 Name,Bloonzilla!
Achievement 35 Description,Voita {0} peliä tuplakestäviä MOABeja vastaan
Achievement 36 Name,Roolin kääntäjä
Achievement 36 Description,Voita peli käänteisessä tilassa
Achievement 37 Name,Mitalivoittaja
Achievement 37 Description,Saa kaikki mitalit kartasta
Achievement 38 Name,Mitaleita voittanut sankari
Achievement 38 Description,Hanki 36 vaikeustasomitalia aloittelijakartoissa
Achievement 39 Name,Punainen ja sininen tekevät...
Achievement 39 Description,Poksauta {0} purppuraa bloonia
Achievement 40 Name,Infrapuna
Achievement 40 Description,Poksauta {0} maastokuvioitua bloonia
Achievement 41 Name,Yhdistetyt voimamme
Achievement 41 Description,Kerää vähintään 12 eri voimaa
Achievement 42 Name,Haastaja
Achievement 42 Description,Voita {0} päivittäinen haaste
Achievement 43 Name,Haastekisälli
Achievement 43 Description,Voita {0} päivittäistä haastetta
Achievement 44 Name,Haastemestari
Achievement 44 Description,Voita {0} päivittäistä haastetta
Achievement 45 Name,Täydellinen viikko
Achievement 45 Description,Suorita viikon kaikki päivittäiset haasteet
Achievement 46 Name,Tietäväinen kädellinen
Achievement 46 Description,Avaa kaikki apinatietämys yhdestä apinatyypistä
Achievement 47 Name,Bloons-mestari
Achievement 47 Description,Voita {0} kartta CHIMPS-tilassa
Achievement 48 Name,Mahtava Bloons-mestari
Achievement 48 Description,Voita {0} karttaa CHIMPS-tilassa
Achievement 49 Name,Äärimmäinen Bloons-mestari
Achievement 49 Description,Voita {0} karttaa CHIMPS-tilassa
Achievement 50 Name,Superpaha
Achievement 50 Description,Tuhoa {0} BAD-luokan bloonia
Collect,Kerää
,
//Standard Round Messages,
,
,
Hint 2,"Saat 1 rahan kutakin poksautettua bloonien kerrosta kohti, plus hieman bonusta kunkin kierroksen lopussa."
Hint 7,"Jatka Bloons TD 6:n pelaamista säännöllisesti ja pidä silmällä uusia päivityksiä – karttoja, sankareita, haasteita ja kaikenmoista mahtavuutta."
Hint 12,"Mitä enemmän käytät tiettyä apinaa, sitä enemmän päivityksiä saat avattua sille."
Hint 26,Näetkö nuo seepraraitaiset bloonit? Niissä yhdistyy valkoisten ja mustien bloonien ilkeys ja niissä on mukana yksi molempia – ihan vain huvin vuoksi.
Hint 32,Näit yhden maastokuvioidun bloonin kierroksella 24. Toivottavasti olet valmiina useampaa varten!
Hint 38,Seuraavan kierroksen päättää 2 regeneroituvaa sateenkaaribloonia. Huolimattomasti käsiteltyinä niistä kahdesta voi seurata paljon useampi...
Hint 39,"Seuraavalla kierroksella on ensimmäisen MOAB-luokan bloonin vuoro. Äläkä väitä, ettei sinua olisi varoitettu!"
Hint 41,Vuorossa ovat regeneroivat sateenkaaribloonit ja maastokuvioidut sateenkaaribloonit. Olethan valmiina?
Hint 45,Seuraavaksi tarjolla on vahvistettuja keraamisia blooneja.
Hint 50,Nyt päiväsi tulee pilaamaan kasa maastokuvioituja keraamisia blooneja. Kunhan sanon.
Hint 54,BTD6:n pelaaminen on aika mahtavaa. Eläminen on myös mahtavaa. Pidäthän siis aina välillä paussin ja käyt tekemässä jotain muuta. Sitten onkin taas aika pelata BTD6:ta!
Hint 58,Osaathan poksauttaa lyijybloonin? Entäpä maastobloonin? No miten sitten sujuu... maastokuvioitu lyijyblooni?
Hint 59,Seuraavaksi on Keskitaso-vaikeustason viimeisen kierroksen aika. Onnittelut! Jos siis saat sen BFB-bloonin poksautettua...
Hint 62,"Jos pelasit BTD5:tä, muistat varmaan millainen kierros 63 oli. Jos tämä taas on ensimmäinen sarjan pelisi, kerrottakoon, että luvassa on hirveä läjä keraamisia blooneja."
Hint 73,"Seuraavalla kierroksella: maastokuvioituja, regeneroituvia, vahvistettuja keraamisia blooneja. Huh! Olipa siinä sanahirviö."
Hint 77,"Mitä tapahtuu, kun 75 keraamista bloonia ahdetaan pieneen tilaan? Eiköhän se selviä pian."
Hint 79,"Viimeinen Vaikea-vaikeustason kierros tulossa seuraavaksi. Anna kaikkesi, jotta pääset ZOMG-bloonista eroon. Se on suuri ja hidas, mutta tosi kova."
Hint 89,"Ai että mikä on DDT-blooni? Se on kuin MOAB risteytettynä pinkin, maastokuvioidun lyijybloonin kanssa. Pahimmalla mahdollisella tavalla."
Hint 100,Onnittelut kierroksen 100 voittamisesta! Nauti palkkiostasi!
,
//Alternate Round Messages [will comment out duplicates for now / warnings],
Alternate Hint 3,Vaihtoehtoiset bloonikierrokset...
Alternate Hint 4,"Tiedäthän, että vaihtoehtoinen tarkoittaa vain kovempaa, eikö niin?"
Alternate Hint 5,"Menitkö paniikkiin, kun näit maastokuvioidun bloonin?"
Alternate Hint 7,Vieläkö löytyy täydet elämät?
Alternate Hint 8,"Hmm, missäköhän ensimmäinen lyijyblooni luuraa?"
Alternate Hint 21,Tuota kutsumme käteisköyhäksi kierrokseksi...
Alternate Hint 39,"Seuraavana on MOAB, kuten tavallista. Vai onko?"
Alternate Hint 59,Sitten onkin BFB:n vuoro. Vai onkohan se vahvistettu BFB?
Alternate Hint 77,Seuraava kierros on tosi raastava...
Alternate Hint 79,"ZOMG sentään, olipa rankkaa..."
Alternate Hint 99,"Eihän se nyt NIIN paha ollut, eihän?"
Alternate Hint 100,Onnittelut kierroksen 100 voittamisesta! Nauti palkkiostasi!
,
// iap ,
Max Level,Maksimitaso
Processing,Käsitellään
Purchased,Hankittu
Purchase failed,Osto epäonnistui. Tarkista internetyhteys ja laitteen kirjautuminen.
,
// Time,
days,päivää
day,päivä
hours,tuntia
hour,tunti
minutes,minuuttia
minute,minuutti
seconds,sekuntia
second,sekunti
,
// Store: standard,
btd6_monkeymoney,Apinarahaa
btd6_monkeymoney Description,Reipas kourallinen apinarahaa.
btd6_pileomonkeymoney,Kottikärryllinen apinarahaa
btd6_pileomonkeymoney Description,Suuren suuri pino apinarahaa.
btd6_vaultomonkeymoney,Kaappi täynnä apinarahaa
btd6_vaultomonkeymoney Description,Kokonainen holvi reunojaan myöten täynnä apinarahaa!
btd6_mountainomonkeymoney,Vuorellinen apinarahaa
btd6_mountainomonkeymoney Description,"Tarvitset kokonaisen ryhmän apinašerpoja, jotta pystyt edes saavuttamaan tämän uskomattoman Apinarahavuoren huipun."
btd6_towerxp,(5000) Apina-XP:tä
btd6_towerxp Description,Hanki nyt {0} XP:tä suosikkiapinatornillesi!
btd6_fulltowerunlock,Täysi apinan avaaminen
btd6_fulltowerunlock Description,Avaa apinatornin kaikki päivitykset välittömästi.
btd6_doublecashmode,Tuplarahatila
btd6_doublecashmode Description,Saat tuplasti rahaa pelin sisällä ikuisesti! Voidaan poistaa käytöstä.
btd6_knowledgeunlocked,Tietämys avattu
btd6_knowledgeunlocked Description,Avaa apinatietämyksen salaisuuksia! Nouse välittömästi tasolle {0} ja saa {1} bonustietämyspistettä!
btd6_knowledgepoint,Tietämyspiste
btd6_knowledgepoint Description,Opi lisää apinoiden tavoista tämän tietämyspisteen avulla.
btd6_herobooster,Sankaritehostin
btd6_herobooster Description,Nykyisessä pelissäsi valittu sankari nousee tasolle {0} tämän pelin loppuun asti.
btd6_powersattackpack,Voimien hyökkäyspaketti
btd6_powersattackpack Description,{0} taisteluun tarkoitetun apinavoiman valikoima.
btd6_instatowerspack,Välitön apinapakkaus
btd6_instatowerspack Description,"5 apinatornia valmiina asetettavaksi käyttämättä pelirahaa! Sisältää 2 kpl tason 1, 2 kpl tason 2 ja 1 kpl tason 3 apinatornia. Kunkin tason apinoilla on sama todennäköisyys."
btd6_tier3instatowerspack,Tason 3 välitön apinapakkaus
btd6_tier3instatowerspack Description,10 kpl tason 3 välitöntä apinatornia valmiina asetettavaksi käyttämättä pelirahaa! Kunkin apinan todennäköisyys on sama.
btd6_tier4instatowerspack,Tason 4 välitön apinapakkaus
btd6_tier4instatowerspack Description,10 kpl tason 4 välitöntä apinatornia valmiina asetettavaksi käyttämättä pelirahaa! Kunkin apinan todennäköisyys on sama.
btd6_needmoremonkeymoneyprompt,Apinaraha ei riitä! Osta lisää?
,
,
// Store: Limited Time Packs,
btd6_knowledgepoints,{0} tietämyspistettä
btd6_knowledgepoints Description,Nappaa {0} apinatietämyspistettä välittömästi!
btd6_extraTowerxp,Ylimääräistä torni-XP:tä ({0})
btd6_extraTowerxp Description,Hanki {0} XP:tä suosikkitornillesi heti!
btd6_extramonkeymoney,Lisäapinaraha
btd6_extramonkeymoney Description,Erikoistarjous! {0} apinarahaa hyvin edullisella hinnalla.
btd6_powerspandamonium,Valtuuksien pandamoniumi
btd6_powerspandamonium Description,Yhdistetyt voimamme! {0} parasta saatavissa olevaa apinavoimaa yksittäisessä pakkauksessa.
btd6_instatowersmegabooster,Välittömät apinoiden megatehostimet
btd6_instatowersmegabooster Description,"Tämä megapakkaus sisältää 5 kpl tason 2, 12 kpl tason 3 ja 3 kpl tason 4 välitöntä apinatornia valmiina asetettavaksi käyttämättä pelirahaa! Kunkin tason apinoilla on sama todennäköisyys."
btd6_megamonkeycompendiumpack,Mega-apina-yhdistelmäpakkaus
btd6_megamonkeycompendiumpack Description,"Valtava pakkaus täynnä uskomattomia hyödykkeitä! 25 000 apinarahaa, 100 hyökkäysvoimaa, 30 kpl tason 3 välitöntä apinatornia, 15 kpl tason 4 välitöntä apinatornia, 5 kpl tason 5 välitöntä apinatornia ja avattu tietämys (sijoitus 30, 5 apinatietämyspistettä)! Kunkin tason apinoilla on sama todennäköisyys."
btd6_tier5instatowerpack,Tason 5 välitön apinapakkaus
btd6_tier5instatowerpack Description,10 kpl tason 5 apinatornia valmiina asetettavaksi käyttämättä pelirahaa! Kunkin apinan todennäköisyys on sama.
,
// Store: Sale packs,
btd6_pileomonkeymoney_sale,Pino apinarahaa alennuksessa
btd6_pileomonkeymoney_sale Description,Suuren suuri pino apinarahaa.
btd6_vaultomonkeymoney_sale,Holvi täynnä apinarahaa alennuksessa
btd6_vaultomonkeymoney_sale Description,Kokonainen holvi reunojaan myöten täynnä apinarahaa!
btd6_knowledgepoints_sale,{0} tietämyksen ale
btd6_knowledgepoints_sale Description,Nappaa {0} apinatietämyspistettä välittömästi!
btd6_instatowersmegabooster_sale,Välittömien apinoiden megatehostusale
btd6_instatowersmegabooster_sale Description,"Tämä megapakkaus sisältää 5 kpl tason 2, 12 kpl tason 3 ja 3 kpl tason 4 välitöntä apinatornia valmiina asetettavaksi käyttämättä pelirahaa!"
btd6_tier3instatowerspack_sale,Tason 3 välittömien apinapakkausten alennus
btd6_tier3instatowerspack_sale Description,10 kpl tason 3 välitöntä apinatornia valmiina asetettavaksi käyttämättä pelirahaa!
btd6_tier4instatowerspack_sale,Tason 4 välittömien apinapakkausten alennus
btd6_tier4instatowerspack_sale Description,10 kpl tason 4 välitöntä apinatornia valmiina asetettavaksi käyttämättä pelirahaa!
,
Restore,Palautus
Today,Tänään
DailyRewardDay,Päivä {0}
Sale Ends In,Ale päättyy:  
Offer Ends In,Tarjous päättyy:  
Promo Ends In,Kampanja päättyy:  
Loot.TowerXP.Title,{0} XP:tä
Loot.Base.Description,x {0}
Loot.BaseAdd.Description,+ {0}
Loot.InstaRank.Description,Taso {0}
Loot.DoubleCashMode.Title,Tuplarahatila
Loot.FullTowerUnlock.Title,{0} täysi tornin avaus
Loot.HeroBooster.Title,Sankaritehostin
Loot.InstaRankToLevel.Title,Välitön nousu tasolle {0}
Loot.PowerPacks.Title,Virtapakkaukset
Loot.KnowledgePoints.Title,Tietämyspisteet
Loot.MonkeyMoney.Title,Apinarahaa
Loot.RandomInstaTower.Title,Satunnainen välitön apina
Loot.RandomAttackPower.Title,Satunnainen hyökkäysvoima
Loot.RandomBestPower.Title,Satunnainen paras voima
Loot.RandomInstaTowerTier.Title,Tason {0} välitön apina
,
ExistingData.Title,Olemassa olevia tietoja löytynyt
ExistingData.Message,taso {0}\nHaluatko säilyttää nämä tiedot tai tyhjentää ne?
ExistingData.Clear,Tyhjennä
ExistingData.Keep,Säilytä
,
Shop.Title,Kauppa
Shop.SubHeading,"Hemmottele itseäsi, ansaitset sen!"
Shop.Sale,Alennusmyynti
Shop.Bonus,Bonus
Claimed,Lunastettu
Map,Kartta
Difficulty,Vaikeustaso
Monkeys Available:,Saatavilla olevat apinat:
Go,Aloita!
Knowledge,Tietämys
Daily Reward,Päivittäinen palkinto
Settings,Asetukset
Language,Kieli
Events,Tapahtumat
Upgrades:,Päivitykset:
Ingame cost:,Hinta pelissä:
Select,Valitse
Path Closed,Polku suljettu
Store unavailable,Kauppa ei käytettävissä
,
// ------------- Monkey Knowledge,
// Primary,
IncreasedLifespan,Kasvanut elinkaari
IncreasedLifespanDescription,"Pidempi ammuksen elinkaari Tikka-apinalle, Pommittajalle, Nasta-ampujalle ja Liima-ampujalle."
ExtraDartPops,Lisätikkapoksauttimet
ExtraDartPopsDescription,Tikka-apinat saavat +1 lävistyksen kaikkiin laukauksiin.
CheapRangs,Halvat bumerangit
CheapRangsDescription,Bumerangiapinan perushintaa vähennetään 50 $:lla.
FraggyFrags,Sirpalepommit
FraggyFragsDescription,Sirpalepommit saavat 2 lisäsirpaletta.
FastGlue,Pikaliima
FastGlueDescription,Liima-ampujalla 10 % nopeampi hyökkäysnopeus.
IcyChill,Jäätävä viima
IcyChillDescription,Jäädytyksen kantama on hieman suurempi.
HardTacks,Kovat nastat
HardTacksDescription,Nasta-ampujan nastat voivat poksauttaa jäätyneet bloonit.
CrossbowReach,Varsijousen kantama
CrossbowReachDescription,Suurempi varsijousen kantama.
4And4,4 ja 4
4And4Description,Tikka-apinan kolmoislaukaus saa 4 tikkaa joka 4. laukaus.
ForceVsForce,Voima vs. voima
ForceVsForceDescription,Juggernautti tekee +2 vahinkoa laukausta kohti MOAB-luokan blooneille.
MasterDoubleCross,Tuplavarsijousimestari
MasterDoubleCrossDescription,Mahdollistaa sinun käyttävän KAHTA varsijousimestaria.
ExtraBounce,Lisäponnahdus
ExtraBounceDescription,Mahdollistaa bumerangin kimpoavan jopa 80 kertaa.
LongTurbo,Pitkä turbo
LongTurboDescription,Bumerangin Turbolataus-kyky kestää 15 sekuntia.
HardPress,Kova painallus
HardPressDescription,MOAB-prässi työntää taaksepäin 30 % kauemmas.
MegaMauler,Megaraatelija
MegaMaulerDescription,MOAB-raatelija tuottaa enemmän vahinkoa iskua kohti.
ViolentImpact,Kova isku
ViolentImpactDescription,Pommittajan bloonityrmäys pökerryttää 25 % pidemmäksi ajaksi.
BudgetClusters,Budjettirypäleet
BudgetClustersDescription,Pommittajan rypälepommien hintaa vähennetty 100 $:lla.
FastTackAttacks,Pikanastahyökkäykset
FastTackAttacksDescription,Nasta-ampujan hyökkäysnopeutta lisätty 8 %.
PoppyBlades,Poksautusterät
PoppyBladesDescription,Teräampujan päivitys saa +2 lävistystä.
BigInferno,Suuri hornakehä
BigInfernoDescription,Hornakehän päivitys saa +3 purkauksen kantamaan.
SoCold,Niin... kylmä...
SoColdDescription,Jääapinan ikiroudan päivitys hidastaa 60 %:lla.
BigCryoBlast,Suuri jäädytysräjäytys
BigCryoBlastDescription,Jäädytyskanuuna saa suuremman räjähdysalueen.
Hypothermia,Hypotermia
HypothermiaDescription,Lumimyrsky jäädyttää bloonit pidemmäksi aikaa.
MoreSplattyGlue,Lisää liimaroiskeita
MoreSplattyGlueDescription,Liimaroiskeet voivat vaikuttaa jopa 8 blooniin laukausta kohti.
AviationGradeGlue,Ilmailualan liima
AviationGradeGlueDescription,MOAB-liima hidastaa enemmän kuin normaali.
CheaperSolution,Halvempi ratkaisu
CheaperSolutionDescription,Bloonin nesteyttäjän hintaa pudotettu 1 000 $:lla.
BonusMonkey,Bonusapina!
BonusMonkeyDescription,Aloita kukin peli 1 ilmaisella tikka-apinalla! (Vain 1 ilmainen apina peliä kohden.)
MoreCash,Lisää käteistä
MoreCashDescription,Lisää aloituskäteistä 200 $:lla.
,
// Support,
FlatPackBuildings,Elementtirakennukset
FlatPackBuildingsDescription,Farmi ja kylä maksavat 2 % vähemmän ja myyvät 2 % kalliimmalla.
FarmSubsidy,Maataloustuki
