//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Clicca
Unlock Hero,Sblocca livello
Max Level Hero,Livello massimo raggiunto!
,
//Hero Screen,
InGame Cost,Prezzo in valuta del gioco: {0} $
,
//Knowledge Screen,
Knowledge Requirement,Richiede almeno altro/i {0} punto/i investiti in {1}
,
//Removables,
Removable Cost,Rimuovi per {0} $
,
// Powers Select Screen,
Select a Power,Seleziona un potere
Add For:,Aggiungi per:
,
// Achievements screen,
Achievements,Trofei
Rewards:,Ricompense:
,
//Debug Options,
Set Health,Imposta PV
Set Health Description,Inserisci una cifra da impostare come nuovo valore dei PV
Set Cash,Imposta contante
Set Cash Description,Inserisci una cifra da impostare come nuovo valore del contante
,
//Difficulty,
Easy,Facile
Medium,Medio
Hard,Difficile
Impoppable,Impervio
Sandbox,Sabbionaia
Easy Description,"Con il livello di difficoltà impostato su facile il prezzo delle scimmie è inferiore al normale, i bloon si muovono più lentamente e hai 200 vite a disposizione. Superando il 40° round con difficoltà facile ottieni una medaglia di bronzo per quel determin"
Medium Description,"Con il livello di difficoltà impostato su medio il prezzo delle scimmie è quello normale, i bloon si muovono normalmente e hai 150 vite a disposizione. Superando il 60° round con difficoltà media ottieni una medaglia d'argento per quel determinato traccia"
Hard Description,"Con il livello di difficoltà impostato su difficile il prezzo delle scimmie è superiore al normale, inizi dal 3° round, i bloon si muovono un po' più velocemente e hai 100 vite a disposizione. Completando l'80° round con difficoltà difficile ottieni una medaglia d'oro per quel determinato tracciato."
Impoppable Description,"Con il livello di difficoltà impostato su inscoppiabile il prezzo delle scimmie è di molto superiore al normale, inizi dal 6° round, i bloon si muovono più velocemente e hai 1 vita a disposizione. Completando il 100° round con difficoltà inscoppiabile ottieni una medaglia di platino per quel determinato tracciato."
Sandbox Description,"In modalità Sandbox il prezzo delle scimmie è normale, i bloon si muovono normalmente e hai a disposizione vite e contante illimitati."
,
,
,
,
,
//Popup Screens,
Unlock All Title,Sblocca i potenziamenti
Unlock All Body,Sblocca tutti potenziamenti per {0} PE.
Not Enough Cash Title,Contante insufficiente
Not Enough Cash Body,Fai scoppiare altri bloon per guadagnare contante.
Not Enough XP Title,PE insufficienti
Not Enough XP Body,{0} PE necessari.\nLe torri guadagnano PE ogni volta che viene superato un round
Already Own Upgrade Title,Potenziamento già in tuo possesso
Already Own Upgrade Body,Possiedi già questo potenziamento.
Locked Title,Potenziamento bloccato
Locked Body,Per acquistare questo potenziamento devi prima acquistare quello precedente.
Quit Title,Abbandona
Quit Body,Vuoi davvero uscire dal tutorial?
Continue Saved Game Title,Desideri continuare dall'ultima partita salvata?
Continue Saved Game Body,Desideri continuare dal round {0} su {1} in modalità {2} e con livello di difficoltà {3}?
Continue Saved Game Okay,Carica salvataggio
Continue Saved Game Cancel,Nuova partita
,
,
//Hero Messages,
Generic Hero Message,Hai bisogno di aiuto?
,
//Tutorial,
Welcome Title,Benvenuto a Bloons™ Tower Defense 6
Welcome Title Partial,Benvenuto a
Welcome Body,Un'epica avventura che vede agguerrite scimmie contrapporsi ai temibili bloon
Town Trouble Title,Benvenuto a Bloons™ Tower Defense 6
Town Trouble Body,La tua città è stata invasa dai bloon!
Town Trouble Button,Liberala!
Bloon Entry,Arresta il passaggio dei bloon!
Bloon Outro,…e prova a fuggire da qui.
Place First Tower,Posiziona una scimmia lancia freccette per iniziare.
Place Second Tower,Posizionane un'altra e poi [I] Gioca
Press Go,Ora [I] VAI!
Finished Round One,"Facile, vero? [I] Gioca per iniziare il prossimo round"
Earning Experience,Facendo scoppiare i bloon guadagni PE.
Unlocking Upgrades,Le tue scimmie lancia freccette ne hanno accumulati a sufficienza per sbloccare un potenziamento
Upgrade Details,Ogni tipo di scimmia ha a disposizione 5 potenziamenti che si articolano in 3 percorsi. Sbloccane uno adesso.
Upgrade Complete,Ottimo! Ora con esso puoi potenziare le scimmie che già possiedi.
Select Monkey,"Hai sbloccato il potenziamento, ma devi ancora applicarlo alle scimmie nel gioco. Tocca una scimmia."
Select Upgrade,Ora seleziona un potenziamento sbloccato da acquistare ed equipaggialo.
Hero Title,Eroi!
Quincy Intro,Hai bisogno di aiuto?
Hero Info,Quincy è una scimmia eroe capace di potenziarsi da sola durante il gioco. È in grado di far scoppiare molti bloon con ogni colpo.
Last Round,Ancora un round ed è fatta!
Next Map Title,Ottimo lavoro!
Next Map Description,Li abbiamo messi in fuga. Ora dirigiti verso quel grande albero!
Next Map Button,Andiamo
Big Tree Title,Grande albero
Big Tree Description,Quest'albero ostruisce la vista alle tue scimmie perciò fai attenzione a dove lo metti. Alcune scimmie sono in grado di far fuoco oltre gli ostacoli.
Big Tree Victory Title,Un ultimo sforzo…
Big Tree Victory Description,La vittoria è vicina. Fatti strada nel Centrocittà!
Big Tree Victory Button,Andiamo
Town Centre Title,Centrocittà
Town Centre Description,Distruggi tutti i bloon e salva la tua città.
Town Centre Victory Description,Ce l'abbiamo fatta!
Home Description,Bentornato a casa.
Xp Reminder Title,Non dimenticare!
Xp Reminder Description,Ricorda di usare i PE per sbloccare altri potenziamenti per le tue scimmie.
Lose Tutorial Title,Ops!
Lose Tutorial Description,Vite esaurite! Riprova. Prova a posizionare più scimmie vicino al tracciato oppure ottieni altri potenziamenti.
Select a Monkey,Seleziona una scimmia
Earning Experience Title,Sblocco potenziamenti in corso
Unlocking Upgrades Title,Sblocco potenziamenti in corso
Next,Prossima
,
//Loading Messages,
Loading Message 0,Esame dei geroglifici in corso…
Loading Message 1,Addestramento scimmie in corso…
Loading Message 2,Preparazione freccette in corso…
Loading Message 3,Gonfiaggio bloon in corso…
Loading Message 4,Raccolta banane in corso…
Loading Message 5,Pausa…
Loading Message 6,Potatura giardini in corso…
Loading Message 7,Liberazione della Scimmia Cthulhu in corso…
Loading Message 8,Risveglio del dio del sole in corso…
Loading Message 9,Richiamo eroi in corso…
Loading Message 10,Download nuovi contenuti in corso…
Internet Connection Required Message,"""Per scaricare i nuovi contenuti è necessaria una connessione a Internet. Verifica la connessione."
,
// Achievements,
Achievement 1 Name,Impervio
Achievement 1 Description,Fai scoppiare {0} bloon
Achievement 2 Name,Assassino MOAB
Achievement 2 Description,Distruggi {0} MOAB
Achievement 3 Name,Sterminatore di BFB
Achievement 3 Description,Distruggi {0} BFB
Achievement 4 Name,Distruttore di ZOMG
Achievement 4 Description,Distruggi {0} ZOMG
Achievement 5 Name,Io avere fatto buon lavoro su DDT
Achievement 5 Description,Distruggi {0} DDT
Achievement 6 Name,Artificiere
Achievement 6 Description,Scoppia {0} bloon fortificati o classe MOAB. Meglio non uccidere all'istante o eliminare i fortificati.
Achievement 7 Name,Prima vittoria
Achievement 7 Description,{0} vittoria in una mappa di livello principiante non appartenente al tutorial
Achievement 8 Name,Grillo
Achievement 8 Description,Vinci su {0} mappe diverse di livello principiante
Achievement 9 Name,Prossimo livello
Achievement 9 Description,Vinci {0} partita su una mappa di livello intermedio
Achievement 10 Name,Accolito
Achievement 10 Description,Vinci su {0} mappe diverse di livello intermedio
Achievement 11 Name,Giocatore avanzato
Achievement 11 Description,Vinci {0} partita su una mappa di livello avanzato
Achievement 12 Name,Giocatore estremo
Achievement 12 Description,Vinci {0} partita su una mappa di livello estremo
Achievement 13 Name,Grande scimmia
Achievement 13 Description,Schiera una torre scimmia livello 4
Achievement 14 Name,Mega scimmia
Achievement 14 Description,Schiera una torre scimmia livello 5
Achievement 15 Name,L'ora dell'eroe
Achievement 15 Description,Schiera un eroe su una mappa non appartenente al tutorial
Achievement 16 Name,Poteri eroe attivati
Achievement 16 Description,Utilizza un'abilità eroe di livello 3
Achievement 17 Name,Più grande e più cattivo
Achievement 17 Description,Utilizza un'abilità eroe di livello 10
Achievement 18 Name,Eroe epico
Achievement 18 Description,Fai raggiungere a un eroe il livello {0}
Achievement 19 Name,Lega delle scimmie vendicatrici
Achievement 19 Description,Vinci una partita con {0} eroi diversi
Achievement 20 Name,A me il potere
Achievement 20 Description,Usa i poteri per la prima volta
Achievement 21 Name,Utente esperto
Achievement 21 Description,Usa i poteri {0} volte
Achievement 22 Name,Potenziato
Achievement 22 Description,Usa i poteri {0} volte
Achievement 23 Name,Studente
Achievement 23 Description,Applica il tuo primo punto Sapienza scimmiesca
Achievement 24 Name,Studioso
Achievement 24 Description,Applica {0} punti Sapienza scimmiesca
Achievement 25 Name,Dott. Scimmia
Achievement 25 Description,Consuma 106 punti sapienza scimmiesca
Achievement 26 Name,Prima le scimmie
Achievement 26 Description,Vinci {0} partite usando solo scimmie primarie
Achievement 27 Name,Scimmie belliche
Achievement 27 Description,Vinci {0} partite usando solo scimmie soldato
Achievement 28 Name,Abracabertuccia
Achievement 28 Description,Vinci {0} partite usando solo scimmie magiche
Achievement 29 Name,Scimmie anonime
Achievement 29 Description,Vinci {0} partite usando solo scimmie supporto
Achievement 30 Name,Mongolfiera
Achievement 30 Description,Supera il {0}° round in modalità Sgonfiamento
Achievement 31 Name,Sopravvissuto
Achievement 31 Description,Supera il {0}° round in modalità Apocalisse
Achievement 32 Name,Indipendente
Achievement 32 Description,Vinci {0} partite con round bloon alternativo
Achievement 33 Name,Scoppiabile
Achievement 33 Description,Vinci {0} partite con livello di difficoltà impostato su inscoppiabile
Achievement 34 Name,Frugale
Achievement 34 Description,Vinci {0} partite in modalità Metà contante
Achievement 35 Name,Bloonzilla!
Achievement 35 Description,Vinci {0} partite contro MOAB con PV doppi
Achievement 36 Name,Ruolo invertito
Achievement 36 Description,Vinci una partita in modalità Retromarcia
Achievement 37 Name,Vincitore di medaglie
Achievement 37 Description,Ottieni tutte le medaglie per una mappa
Achievement 38 Name,Eroe decorato
Achievement 38 Description,Ottieni 36 medaglie sulle mappe livello principiante
Achievement 39 Name,Rosso+blu=…
Achievement 39 Description,Fai scoppiare {0} bloon viola
Achievement 40 Name,Infrarosso
Achievement 40 Description,Fai scoppiare {0} bloon mimetizzati
Achievement 41 Name,Poteri combinati
Achievement 41 Description,Raccogli almeno 12 poteri diversi
Achievement 42 Name,Sfidante
Achievement 42 Description,Vinci {0} sfide giornaliere
Achievement 43 Name,Apprendista sfidante
Achievement 43 Description,Vinci {0} sfide giornaliere
Achievement 44 Name,Esperto sfidante
Achievement 44 Description,Vinci {0} sfide giornaliere
Achievement 45 Name,Settimana perfetta
Achievement 45 Description,Completa tutte le sfide giornaliere in una settimana.
Achievement 46 Name,Primate sapiente
Achievement 46 Description,Sblocca tutta la Sapienza scimmiesca in un campo.
Achievement 47 Name,Campione di bloon
Achievement 47 Description,Supera {0} mappa in modalità SCIMPANZÉ
Achievement 48 Name,Super campione di bloon
Achievement 48 Description,Supera {0} mappe in modalità SCIMPANZÉ
Achievement 49 Name,Insuperato campione di bloon
Achievement 49 Description,Supera {0} mappe in modalità SCIMPANZÉ
Achievement 50 Name,Super BAD
Achievement 50 Description,Distruggi {0} BAD
Collect,Raccogli
,
//Standard Round Messages,
,
,
Hint 2,Ottieni contante per un valore di 1 per ogni strato di bloon che hai fatto scoppiare e in più qualche bonus al termine di ogni round.
Hint 7,"Continua a giocare a Bloons TD 6 regolarmente per non lasciarti sfuggire nuovi aggiornamenti su mappe, eroi, sfide e molto altro ancora."
Hint 12,"Quanto più ti servi di una determinata scimmia, tanti più potenziamenti sblocchi."
Hint 26,Li vedi quei bloon a strisce? Sono la sintesi dei tratti peggiori dei bloon bianchi e neri e ne contengono all'interno uno di ogni tipo.
Hint 32,Il primo assaggio di bloon mimetizzati lo hai avuto al 24° round. Spero tu sia pronto per affrontarne molti di più!
Hint 38,"Al termine del prossimo round dovrai affrontare 2 bloon arcobaleno rigeneranti. Se gestiti male, possono moltiplicarsi a dismisura…"
Hint 39,Nel prossimo round affronterai il primo bloon classe MOAB. Non dire che non eri stato avvertito!
Hint 41,Nel prossimo round: bloon arcobaleno rigeneranti e mimetizzati. Sei pronto ad affrontarli?
Hint 45,In arrivo bloon di ceramica fortificati.
Hint 50,"Si fa per dire, ma troppi bloon di ceramica mimetizzati possono rovinarti la giornata."
Hint 54,Giocare a BTD6 è davvero spassosissimo ma non dimenticare che c'è altro nella vita. Non dimenticare di fare una pausa ogni tanto per fare altro. Però poi torna a giocare a BTD6!
